epoch,1,2,3,4,5,6,7,8,9,10
1,-5.835872747278549,-5.6637595757572985,-5.506990705931775,-5.494474172464814,-5.636870268018322,-5.680519318472467,-5.636014856095651,-5.686222077060904,-5.638793780356446,-5.434318091388887
2,-5.755070398649544,-5.7244798908816765,-5.62556735009637,-5.472882303557594,-5.590119949699042,-5.50614182134705,-5.659897899981845,-5.715068856761525,-5.719117691042438,-5.45607416470755
3,-5.727765376646228,-5.697721242838377,-5.677022438185297,-5.385490147022343,-5.594444277735526,-5.556000355254063,-5.6626773935026815,-5.743176752684436,-5.861127166121312,-5.4568018284687225
4,-5.753044983677968,-5.695136510977349,-5.706208540359462,-5.368505124227054,-5.551948667825517,-5.562684240616063,-5.640277894809927,-5.697386760619921,-5.844150878082184,-5.436956627309973
5,-5.700391585947287,-5.695527196981682,-5.697525617699209,-5.377427549817247,-5.550031348703866,-5.491743824999294,-5.560911911903604,-5.798352076728389,-5.763862433458303,-5.48081528994396
6,-5.725836460489111,-5.69738754744732,-5.722876370420727,-5.3978338594859805,-5.56519294395726,-5.454374466871185,-5.440478574913081,-5.855188709546222,-5.783029210223976,-5.476177336642976
7,-5.700168958675164,-5.696084490721291,-5.750077218392945,-5.415894727630037,-5.486060090445754,-5.435568441905442,-5.388431212174445,-5.932829872136363,-5.875836583768512,-5.47702675815702
8,-5.650335996183983,-5.636244746139308,-5.829031875551182,-5.351379357630152,-5.486908514500336,-5.367055523426332,-5.340979140195585,-5.884832409219404,-5.853920774401064,-5.385323012712478
9,-5.752331749748763,-5.611052161107673,-5.719565838556832,-5.384503693091809,-5.531754836442822,-5.455382250877146,-5.32111122439262,-5.876845937296984,-5.810230526371688,-5.414129200806451
10,-5.674465733212075,-5.487772098317237,-5.6718624723858655,-5.361577048797896,-5.577564367843223,-5.456566315501929,-5.277369710844183,-5.931573884813938,-5.789665426175971,-5.423973135668463
11,-5.67119325876133,-5.487587550787087,-5.693215424250531,-5.2090260759835365,-5.50076063563906,-5.557841729664067,-5.364786357758741,-5.843686256075273,-5.693010101968476,-5.489089253359
12,-5.699477299050783,-5.440259613994747,-5.717475679820034,-5.259735421422347,-5.546571553151509,-5.567034183862308,-5.2961625742928,-5.764261185168706,-5.559906899935089,-5.61039656599332
13,-5.7233889757125525,-5.420468939903388,-5.772052965629566,-5.275657973068625,-5.596246415109001,-5.520467437301227,-5.2161153335752,-5.73508101503202,-5.77341608571716,-5.583727464736886
14,-5.774075124030755,-5.468910507586478,-5.876908311535293,-5.298899391941783,-5.49914714066788,-5.468072446670145,-5.176116483541344,-5.654374079186,-5.764607555732284,-5.610367542728275
15,-5.773879572258464,-5.459783862266297,-5.797508793491119,-5.298392323444936,-5.502605262448271,-5.518191415117998,-5.168367548624825,-5.672630502921376,-5.703964685327154,-5.7383603598573565
16,-5.699420223500232,-5.393203719461628,-5.805857114608297,-5.380402446321237,-5.394043397369739,-5.58394354550228,-5.1895172261013975,-5.654076597888169,-5.647110538736264,-5.76754440959126
17,-5.6743276956673006,-5.3267696013265855,-5.7504381170436565,-5.468952887102936,-5.368232594734234,-5.531502155268612,-5.188647889798166,-5.641043437050755,-5.610521153225347,-5.766751605595221
18,-5.642365484046917,-5.287815650253626,-5.721208949839939,-5.48998391660839,-5.326718713360847,-5.433195051658119,-5.190497105749369,-5.741471485559922,-5.685107783492148,-5.876995533498089
19,-5.718289508805545,-5.301351953154248,-5.621267941278929,-5.49100796629295,-5.305073513257343,-5.45732376495652,-5.203700458337554,-5.618944831418366,-5.667505227581645,-5.796775186308012
