epoch,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,-5.835872747278549,-5.6637595757572985,-5.506990705931775,-5.494474172464814,-5.636870268018322,-5.680519318472467,-5.636014856095651,-5.686222077060904,-5.638793780356446,-5.434318091388887,-5.71131745361438,-5.67546703540167,-5.641965866525358,-5.751304682024565,-5.571444103940503,-5.630664537720788,-5.667122860107826,-5.578296799807227,-5.655627866131496,-5.581604430424672,-5.619671784135025,-5.655525759196284,-5.519441026739202,-5.683270872785327,-5.722702022309915,-5.795778577165291,-5.734328367431042,-5.615122972387894,-5.650818770714872,-5.613802446613588,-5.629808512018607,-5.655589344078367,-5.475223883440443,-5.556725576712705,-5.766482112418806,-5.754386118076072,-5.529989071099837,-5.632718776785032,-5.697957856346345,-5.523377914652119,-5.5135004136266765,-5.636046489418455,-5.727370463313734,-5.729325211765964,-5.692833712374033,-5.665884786392539,-5.666972428817817,-5.629238963651812,-5.700413818999554,-5.606366799196357
2,-5.755070398649544,-5.7244798908816765,-5.62556735009637,-5.472882303557594,-5.590119949699042,-5.50614182134705,-5.659897899981845,-5.715068856761525,-5.719117691042438,-5.45607416470755,-5.645262846285591,-5.626980067711572,-5.690102886231809,-5.80566668458094,-5.622547233533539,-5.58145341942892,-5.594212403530179,-5.609037807749647,-5.524459832837418,-5.664182279804518,-5.669123413373729,-5.654974169643777,-5.4952680490503285,-5.682952458808962,-5.642177395115888,-5.63551956104409,-5.709272154383818,-5.666521973478188,-5.578540261673308,-5.562956144348731,-5.712420816090989,-5.710345217211357,-5.428974313203023,-5.533596947020966,-5.797487443444676,-5.7603193330321885,-5.415187029810996,-5.691542926576286,-5.725496738550315,-5.429851221914333,-5.516015841325681,-5.568165085964036,-5.733283501176793,-5.570333801355185,-5.614623772796167,-5.612575039400671,-5.773346117349569,-5.65656153101304,-5.649498211076321,-5.63290402432292
3,-5.727765376646228,-5.697721242838377,-5.677022438185297,-5.385490147022343,-5.594444277735526,-5.556000355254063,-5.6626773935026815,-5.743176752684436,-5.861127166121312,-5.4568018284687225,-5.687095516374103,-5.552869578873763,-5.535414312724737,-5.7765767516247655,-5.592520354438555,-5.6059585635023454,-5.587271581491056,-5.495960132825282,-5.5279954395512165,-5.742918891614185,-5.623931065663793,-5.70271237247499,-5.544145983125941,-5.708228871021051,-5.666412607156614,-5.588101803119044,-5.768201135886391,-5.656783198931183,-5.473488609551734,-5.612700063746117,-5.761528943213669,-5.682847324133271,-5.409058836949259,-5.601850234795641,-5.818111879682549,-5.794985790636566,-5.3909536157979545,-5.741823521205671,-5.596824168276279,-5.4443656278834665,-5.513010045751318,-5.577195119913778,-5.777664313281095,-5.649239994112612,-5.66692902557794,-5.59105239046276,-5.747528718978168,-5.6405335667930165,-5.449650872570491,-5.707181515202771
4,-5.753044983677968,-5.695136510977349,-5.706208540359462,-5.368505124227054,-5.551948667825517,-5.562684240616063,-5.640277894809927,-5.697386760619921,-5.844150878082184,-5.436956627309973,-5.813134923836091,-5.53124298223273,-5.55782107935413,-5.736484334916531,-5.521361906842256,-5.530168685072334,-5.564352777967627,-5.569918779141435,-5.623294734642077,-5.768642550180009,-5.671197827385777,-5.676722391701767,-5.493093628388783,-5.763207132480012,-5.615321766285132,-5.53716811067006,-5.727092639606752,-5.609992746132779,-5.377831360376205,-5.586066694639045,-5.815580586976525,-5.771150535571777,-5.407827491220492,-5.573988958535663,-5.904757052842786,-5.688358612754342,-5.310476799015504,-5.708533737119147,-5.599617461249838,-5.491066746753546,-5.593894652030472,-5.608209374351169,-5.864262262005094,-5.628090317697279,-5.723347391630542,-5.568069776041289,-5.782081685593792,-5.673554074247976,-5.449284125413473,-5.62696621174131
5,-5.700391585947287,-5.695527196981682,-5.697525617699209,-5.377427549817247,-5.550031348703866,-5.491743824999294,-5.560911911903604,-5.798352076728389,-5.763862433458303,-5.48081528994396,-5.79175624311005,-5.556852322201882,-5.515145014410028,-5.787678871971729,-5.460328606440327,-5.50857609131533,-5.577797384900168,-5.543381141449269,-5.594799719914953,-5.76887282862296,-5.593083295625823,-5.675048774439519,-5.563756301460122,-5.71088824192165,-5.591784788097258,-5.536365406565841,-5.721177826143708,-5.537656271669726,-5.462884170776281,-5.661182507007558,-5.7588994452153655,-5.782278596890778,-5.474001065234639,-5.6252486905717705,-5.904407549170509,-5.715116546690685,-5.396004263970585,-5.702863882595164,-5.654283702652816,-5.582703085596131,-5.63338882098852,-5.584089327433753,-5.921189335820826,-5.652925359358799,-5.744469703890782,-5.664313653964762,-5.80961255690866,-5.628767771427109,-5.422724362839677,-5.679983080730464
6,-5.725836460489111,-5.69738754744732,-5.722876370420727,-5.3978338594859805,-5.56519294395726,-5.454374466871185,-5.440478574913081,-5.855188709546222,-5.783029210223976,-5.476177336642976,-5.784454323253541,-5.4858717284935885,-5.5810639217746125,-5.743666573185508,-5.46082674893543,-5.599159709867476,-5.542924397550427,-5.57582419051825,-5.49222402798653,-5.743245519069176,-5.519094624568103,-5.651204754110266,-5.444022933972215,-5.817085700115751,-5.540275166752785,-5.487939550678345,-5.81094614391795,-5.615058790936001,-5.581566468411474,-5.669922005096357,-5.73866392626928,-5.73919934662552,-5.46518782301518,-5.650770915379844,-5.900049938192256,-5.5546108609772284,-5.324014603693267,-5.704385592442136,-5.628616978109661,-5.6468374747974055,-5.556417470228512,-5.462806745812724,-5.986368200009759,-5.623591543286783,-5.800975088149105,-5.662509908933131,-5.673575693961049,-5.58768442465117,-5.445844820002552,-5.645508715153919
7,-5.700168958675164,-5.696084490721291,-5.750077218392945,-5.415894727630037,-5.486060090445754,-5.435568441905442,-5.388431212174445,-5.932829872136363,-5.875836583768512,-5.47702675815702,-5.784133543872867,-5.551450196280723,-5.4618520081315225,-5.768290539188344,-5.3844251480139045,-5.59929001576615,-5.590824211391365,-5.552964546010027,-5.591095027701591,-5.824502366999912,-5.489068309705076,-5.551002509533182,-5.46632377062648,-5.848216221126348,-5.609455330090728,-5.48955228381664,-5.838531023855559,-5.614540134523135,-5.539236128678611,-5.583955618556821,-5.7676968492571445,-5.661501299571526,-5.48529202367295,-5.623934412831649,-6.017115605757378,-5.459474970682874,-5.2424827823757925,-5.706013484167598,-5.645273182976153,-5.79525973446772,-5.577836184029008,-5.518831491484223,-6.01957499710104,-5.471673678849162,-5.827227428459803,-5.6363634941093705,-5.619463307829222,-5.606518310149999,-5.517952456193946,-5.672025666590939
8,-5.650335996183983,-5.636244746139308,-5.829031875551182,-5.351379357630152,-5.486908514500336,-5.367055523426332,-5.340979140195585,-5.884832409219404,-5.853920774401064,-5.385323012712478,-5.811257788575886,-5.55146051515439,-5.457782642475565,-5.770265495263368,-5.323787682625505,-5.626579279390714,-5.664082302944623,-5.586866193162955,-5.573302093615874,-5.874129147255832,-5.562601347642677,-5.530291126105209,-5.44460669914951,-5.827281720001483,-5.612078755787381,-5.4876276972877465,-5.877711588811343,-5.609691826341512,-5.66371866709854,-5.70837540104262,-5.907732467341128,-5.743182799080918,-5.576468892356206,-5.550736646187415,-6.049459050619991,-5.513109721264268,-5.263728226688704,-5.838915875337618,-5.589799284268551,-5.765427271880402,-5.558060992570013,-5.604644726528911,-6.015361082956361,-5.420726475190877,-5.833339477365304,-5.63588266436664,-5.594971064333388,-5.496790659124272,-5.570037250441692,-5.654475107694497
9,-5.752331749748763,-5.611052161107673,-5.719565838556832,-5.384503693091809,-5.531754836442822,-5.455382250877146,-5.32111122439262,-5.876845937296984,-5.810230526371688,-5.414129200806451,-5.811296640033322,-5.441216066138719,-5.325209201865656,-5.816350986682428,-5.31454990168913,-5.602982963225127,-5.630365183599578,-5.6342277937024825,-5.604912932390008,-5.969164096264177,-5.542440241454306,-5.505480562124155,-5.404298921747159,-5.688593887324367,-5.584183872827479,-5.375875837736891,-5.897388898187039,-5.6593162457274735,-5.738782242496081,-5.732976738118505,-5.964038915180421,-5.743737391825833,-5.458361874598072,-5.586001788983674,-5.898271134882986,-5.562094652012511,-5.267196654283612,-6.012042142769149,-5.56590288493884,-5.7438211309105895,-5.562308776938135,-5.606776461640715,-5.896127698537284,-5.474772868745959,-5.982812068984402,-5.636527969626306,-5.696687952474472,-5.528318116276238,-5.541298584578769,-5.685309342748048
10,-5.674465733212075,-5.487772098317237,-5.6718624723858655,-5.361577048797896,-5.577564367843223,-5.456566315501929,-5.277369710844183,-5.931573884813938,-5.789665426175971,-5.423973135668463,-5.843699878066046,-5.439382971128757,-5.384780039702442,-5.842955841191772,-5.445061117907672,-5.5728999935382175,-5.63183668699029,-5.597908047394983,-5.529527411421317,-5.9939777428995065,-5.496688131508637,-5.441207460055579,-5.430696885844342,-5.635346119033572,-5.560076481871047,-5.416416515893494,-5.918078458398675,-5.664466952884309,-5.7023997798185135,-5.735009997460721,-5.89194575502737,-5.711248937004887,-5.526786330150117,-5.684776586389898,-5.988709153966506,-5.595454810900896,-5.341373284372943,-5.986698154488168,-5.745147189766591,-5.7030677124817055,-5.540238960769022,-5.659879998149268,-5.95227440444793,-5.427778941191615,-5.972034721289164,-5.661203901265261,-5.6788742682391495,-5.503385349715543,-5.611884637960582,-5.70789849868954
