seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap
1,-5.835872747278549,-15.986574725434158,4999,-15.95730662478,-4.862527855576947,611,0.029268100654158857
2,-5.6637595757572985,-16.81376213426043,4920,-16.708852344607983,-4.954513312680812,980,0.1049097896524458
3,-5.506990705931775,-17.880329103719713,4999,-17.857514270069913,-4.927844188677306,779,0.022814833649800192
4,-5.494474172464814,-16.292569502516812,4982,-16.251939229697008,-4.928652951825918,590,0.04063027281980425
5,-5.636870268018322,-18.273496458255625,4995,-18.25710541760952,-5.0128447435361165,591,0.016391040646105637
6,-5.680519318472467,-18.30813342338125,4982,-18.27321722734071,-4.8982191208957495,675,0.03491619604054108
7,-5.636014856095651,-16.885466313086955,4938,-16.720056982121967,-4.838604449757155,580,0.16540933096498733
8,-5.686222077060904,-17.764140164295704,4950,-17.71934390398642,-5.009700377002976,770,0.0447962603092833
9,-5.638793780356446,-14.79528015814378,4974,-14.70912786403428,-4.814465180642028,880,0.08615229410950143
10,-5.434318091388887,-18.41937552795669,4958,-18.38464080902653,-5.070145413188498,611,0.03473471893016011
