seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap,ar1_phi,null_gap_median,null_gap_p05,null_gap_p95,gap_percentile_in_null,null_epoch_of_min_median
1,-5.835872747278549,-5.894876506173569,162,-5.268172965835426,-5.066432302950933,409,0.6267035403381431,0.9221606506899822,0.6007397048327072,0.3580082797670475,0.8410082706604551,0.5665,7.0
2,-5.6637595757572985,-5.920608632870571,54,-5.497946640329782,-4.995866576908822,464,0.42266199254078884,0.949549190470639,0.6074180912517431,0.29172942962887594,0.9248075868815301,0.1795,93.5
3,-5.506990705931775,-5.876908311535293,14,-5.380638985721253,-4.941877233258371,208,0.4962693258140396,0.9287608506229736,0.5370565096396036,0.26841339392212205,0.8016178623720109,0.395,95.0
4,-5.494474172464814,-5.925794441495947,72,-5.4800029413264335,-5.0959290986481385,248,0.44579150016951363,0.9309611184317029,0.5103411599351588,0.2769041090358044,0.7798073132692358,0.3365,94.5
5,-5.636870268018322,-5.793238651617379,194,-5.535230271423701,-5.114214446772047,331,0.25800838019367855,0.9278577017469538,0.5392720330675744,0.2813483601818398,0.8066815629498291,0.036,69.5
6,-5.680519318472467,-5.922055122697027,141,-5.286113837336213,-4.941714112449495,307,0.635941285360814,0.9395124740250138,0.5989030989768009,0.30962489635915785,0.9175552342628487,0.578,79.0
7,-5.636014856095651,-6.063382130822245,244,-5.089495886945406,-5.00343048216258,493,0.973886243876839,0.9548954226326771,0.643121010153823,0.2849837476300737,1.0170803046230341,0.927,115.0
8,-5.686222077060904,-5.9422062562174895,45,-5.31126171409705,-5.043917715465026,472,0.6309445421204396,0.9505204730829494,0.582063503926693,0.2797703959567252,0.9066640108835317,0.6035,88.0
9,-5.638793780356446,-5.953575853834727,38,-5.5306120091180935,-4.968585685397462,423,0.42296384471663373,0.9152284988453893,0.5476013887201079,0.29648081770031376,0.8238535466509943,0.202,69.0
10,-5.434318091388887,-5.876995533498089,18,-5.366677852127516,-5.099191659350578,318,0.510317681370573,0.9109015481444294,0.48173159814604105,0.2749321822590637,0.720425828476386,0.5725,78.0
