sweep,thermo,learning,spearman_pooled_levels,spearman_within_seed_median,spearman_increments
500ep,E,KL,-0.16251569923858508,-0.169626678506714,-0.19400319276929634
500ep,E,recon_sq,-0.4134048929435598,-0.45066938667754664,-0.5366507015671134
500ep,E,recon_ce,-0.3349135339758617,-0.3643265453061812,-0.27282274012304203
500ep,S,KL,-0.09810080294352128,-0.11995785583142331,-0.9167529947744444
500ep,S,recon_sq,0.9144128624893646,0.9408484033936135,0.6905167045770864
500ep,S,recon_ce,0.41453391021051833,0.3949727478909915,-0.8692186848318025
500ep,F,KL,-0.1598161279787138,-0.14960411841647364,-0.1328744995109777
500ep,F,recon_sq,-0.5187724318400839,-0.5680099360397441,-0.5767359224166825
500ep,F,recon_ce,-0.3910417609172508,-0.4069836919347677,-0.2130577717145636
500ep,F_data,KL,-0.12203894032838229,-0.10759108636434545,-0.08534235426611902
500ep,F_data,recon_sq,-0.5140400672124801,-0.5595999663998656,-0.591944385396655
500ep,F_data,recon_ce,-0.3603518484255229,-0.38060624242496965,-0.16494043541680015
5000ep,E,KL,0.9675155708395102,0.9757606592149857,-0.4617246762345047
5000ep,E,recon_sq,0.9799168219065246,0.9916473281167144,-0.09428395166661728
5000ep,E,recon_ce,0.9802940570901102,0.9920222590143457,-0.27783899551639235
5000ep,S,KL,0.9776876506203948,0.9776007093327161,-0.7342864071082944
5000ep,S,recon_sq,0.9941256318754359,0.9979740941621482,-0.08988274168510406
5000ep,S,recon_ce,0.9939483730907335,0.9974209011503619,-0.4769504968071224
5000ep,F,KL,0.9518512486555433,0.9654890362949766,-0.3434026140475024
5000ep,F,recon_sq,0.9626344884566153,0.9801829688249035,-0.04271782954676255
5000ep,F,recon_ce,0.9632776224822304,0.9804975885793641,-0.19440813451350675
5000ep,F_data,KL,0.9564647396594779,0.9693660458457148,-0.18756652521423753
5000ep,F_data,recon_sq,0.966562341127762,0.9831559519827056,0.03739007742870291
5000ep,F_data,recon_ce,0.9672745299629608,0.9833465457692855,-0.07933443797403954
