epoch,1,2,3,4,5,6,7,8,9,10
1,-7.810233544356341,-7.761756418209073,-7.783178995906609,-7.800926967651945,-7.773911457044587,-7.928265620764854,-7.78339665752141,-7.834652173825567,-7.845043019575761,-7.891871269002158
2,-7.802443452460906,-7.766433866055953,-7.813117811321851,-7.777744685930422,-7.735588772064643,-7.899002923516568,-7.758176394796368,-7.811118228731964,-7.788726586863105,-7.951136532721193
3,-7.682213827574247,-7.735280461268029,-7.751542315957273,-7.774099990786163,-7.76050925973638,-7.865879790344355,-7.761057710875222,-7.807046985104256,-7.71532934706421,-7.882217688724037
4,-7.688343218318216,-7.743045833473369,-7.745980432483104,-7.794314060126349,-7.705956537820544,-7.927252930080953,-7.725879917345835,-7.752965545023833,-7.689962518641741,-7.841291634396422
5,-7.649581767868443,-7.681584304365523,-7.735601588861539,-7.786169522495384,-7.757169671864211,-7.874022229537093,-7.753233418433887,-7.662142956564147,-7.656720072983965,-7.783075639489569
6,-7.614756974464873,-7.64037066903506,-7.740925074043822,-7.846106165768569,-7.775784653676798,-7.817774251746118,-7.72695618750057,-7.632019803240509,-7.789266983875716,-7.722849833001244
7,-7.625905310881369,-7.630871333231862,-7.697497064490928,-7.796801807517381,-7.764227209077607,-7.788659323807226,-7.681612018170165,-7.617053727238799,-7.748161153730509,-7.782578167024386
8,-7.62104711174149,-7.607220790056841,-7.701954351522462,-7.795594083293696,-7.750312008349304,-7.813181917338684,-7.584985538173891,-7.598864472900021,-7.771140605075442,-7.758291530356946
9,-7.623046552497411,-7.652440106657417,-7.682949254262449,-7.834000796828194,-7.844525133823165,-7.831161860419421,-7.640138291428571,-7.661811935511133,-7.769806484210981,-7.711186462376556
10,-7.626094834241904,-7.560203241274777,-7.752171603333777,-7.842640797517326,-7.780693435176678,-7.82259563793349,-7.604697676957656,-7.661987262003259,-7.77426905823536,-7.75688675942872
11,-7.591676586765611,-7.652904071134581,-7.767880479871861,-7.755974486416226,-7.7601216591476305,-7.796193059496436,-7.628969008139585,-7.666932935855913,-7.747381924691484,-7.76484448420758
12,-7.57680598456199,-7.6509953416683585,-7.771006835356783,-7.7623113697795665,-7.753254658151301,-7.801789367460836,-7.615021478647087,-7.634819639511978,-7.797979034268831,-7.757352180995334
13,-7.587788818950134,-7.7250708199477875,-7.773756698689057,-7.685624964643091,-7.744410308047443,-7.816240042348645,-7.604288737184933,-7.6127287352152,-7.7536309437601085,-7.663003500379296
14,-7.58099899082218,-7.711674399720037,-7.678014100608106,-7.631785019988295,-7.7593037985102,-7.801300065865872,-7.648045824324777,-7.58793726134262,-7.735967776003385,-7.595009860014949
15,-7.612206464790547,-7.691104261469478,-7.658818243338486,-7.665555160784665,-7.832257925816263,-7.730411851130641,-7.612196046686963,-7.599097557002771,-7.675587958269944,-7.603220619971436
16,-7.599690956877108,-7.65135364520469,-7.774806186581229,-7.675233953624343,-7.881249523805937,-7.692288898081859,-7.699316334969824,-7.635047979920663,-7.720079680935898,-7.593657745306211
17,-7.585548269863325,-7.641185749071014,-7.753706210035582,-7.654168640663641,-7.856878755060626,-7.671787014773001,-7.658590569602731,-7.586330301218369,-7.655694552761759,-7.543994157766517
18,-7.637724227253611,-7.566026853816284,-7.698531427474688,-7.630450919169429,-7.863181615221585,-7.686249457472195,-7.625239586087731,-7.575245571823588,-7.619101639335785,-7.537837372224088
19,-7.584450691738093,-7.570804415982626,-7.68539827479382,-7.651958155593902,-7.914018829793416,-7.651049835825097,-7.526779011462598,-7.585764203556253,-7.618944237860506,-7.549534300807736
20,-7.685796369127399,-7.572366104168936,-7.6908034405021635,-7.647153234354312,-7.93449393676917,-7.623217749451683,-7.511527794679075,-7.616935353849007,-7.611366435739138,-7.61378857880026
21,-7.584948804884772,-7.537229116655716,-7.607405553914985,-7.70526692194375,-7.90664036970819,-7.65663354367629,-7.538509119638906,-7.652347144412184,-7.573003244048722,-7.623010349260488
22,-7.589169395076581,-7.575845114557645,-7.503014264869553,-7.632237841638994,-7.80526673543581,-7.690973069603316,-7.579807072882241,-7.679698506709114,-7.549714608357839,-7.612260081123796
23,-7.632304665534296,-7.545331100275347,-7.552630834449622,-7.638561177840594,-7.7863602847262,-7.720468677841336,-7.55805760670469,-7.689680565264032,-7.508236195919569,-7.623553625575941
24,-7.666240733920005,-7.581958290506034,-7.55880210690479,-7.636873130423089,-7.715463843420491,-7.680801020457049,-7.521616387314028,-7.698395305892041,-7.481497226922246,-7.674523235245701
25,-7.622364765679279,-7.577126649766472,-7.518206830762714,-7.70152356985012,-7.698631474819074,-7.726345658356787,-7.494292015593867,-7.72004142518206,-7.484988411153433,-7.687197771829971
26,-7.703918760930334,-7.618819686696053,-7.4743538852779805,-7.726032489475143,-7.659907015050799,-7.698968172986778,-7.486042614510405,-7.750669519493677,-7.515080674169533,-7.653011041953069
27,-7.766373446101731,-7.574052347860039,-7.444698321050764,-7.778635446350389,-7.641853394629678,-7.637608666867367,-7.472432301268698,-7.83870384174127,-7.423476374369727,-7.647653133855879
28,-7.7896389851977474,-7.638129830722951,-7.373597335819743,-7.785420179917158,-7.595860143364619,-7.59113749580629,-7.549175244807992,-7.8417029094322706,-7.445872034501652,-7.694711980738638
