epoch,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,-7.810233544356341,-7.761756418209073,-7.783178995906609,-7.800926967651945,-7.773911457044587,-7.928265620764854,-7.78339665752141,-7.834652173825567,-7.845043019575761,-7.891871269002158,-7.822479387814324,-7.862926852658152,-7.830455048389607,-7.781695205806397,-7.826027284416073,-7.736696908904092,-8.033061873924515,-7.7717054647330865,-7.801019350024,-7.7394908068471775,-7.754212644294327,-7.844223199861265,-7.889429981971665,-7.813571738540002,-7.9092949668134,-7.869761282950317,-7.840603547132447,-7.837869535690879,-7.905522733181329,-7.873646032218475,-7.890439771141516,-7.88704313475473,-7.733034166402842,-7.712592581732976,-7.981303639299308,-7.823864268939428,-7.748844768670218,-7.8773682215506655,-7.842616963282402,-7.777470830771015,-7.873679344213794,-7.931982994482132,-7.831158091920197,-7.874716889699494,-7.864638082671908,-7.818947239139925,-7.834642787929409,-7.894125146776904,-7.850600967987351,-7.982998034954592
2,-7.802443452460906,-7.766433866055953,-7.813117811321851,-7.777744685930422,-7.735588772064643,-7.899002923516568,-7.758176394796368,-7.811118228731964,-7.788726586863105,-7.951136532721193,-7.860075129893997,-7.861579150949147,-7.854937263308492,-7.779523901164672,-7.826086886353354,-7.750158254385941,-7.959634958961219,-7.78022612112904,-7.7776898648645565,-7.7383692022145985,-7.619757101724941,-7.8282644770522865,-7.864661289062798,-7.806271533436081,-7.838619301159776,-7.855850741893157,-7.835867919688395,-7.9211024296482115,-7.904120968837862,-7.868908124045299,-7.8229005644821425,-7.903897926290575,-7.665019019604582,-7.672579541707596,-8.03215067042123,-7.864630971860241,-7.728211394553329,-7.828756158403665,-7.862682282943198,-7.7019771169147395,-7.907521485578586,-7.833806827055477,-7.758750330144541,-7.839958694222565,-7.899134939498295,-7.858654072986947,-7.8048140429719215,-7.858370604891391,-7.777970589047643,-7.869396425642942
3,-7.682213827574247,-7.735280461268029,-7.751542315957273,-7.774099990786163,-7.76050925973638,-7.865879790344355,-7.761057710875222,-7.807046985104256,-7.71532934706421,-7.882217688724037,-7.822133923252404,-7.884147051288874,-7.749068205916116,-7.788250880004981,-7.829690492496899,-7.732335853662497,-7.884085095577264,-7.750705429829422,-7.771049474607786,-7.756923765222918,-7.657037609631909,-7.810622918283687,-7.766372675601339,-7.805764341851713,-7.834676260025121,-7.822138883709018,-7.759291415177161,-7.963130614852949,-7.895862961589557,-7.791826639074904,-7.842478861663078,-7.847795201662379,-7.728731577114287,-7.718633874451648,-7.9713426063604125,-7.863830628262294,-7.677407705374971,-7.862549332110388,-7.81174410678229,-7.63914606102762,-7.830292651981157,-7.8217981764819005,-7.708558385405112,-7.920203049592447,-7.893457556586592,-7.85952414456178,-7.85358654113559,-7.870419007973667,-7.824575750295933,-7.77725990689065
4,-7.688343218318216,-7.743045833473369,-7.745980432483104,-7.794314060126349,-7.705956537820544,-7.927252930080953,-7.725879917345835,-7.752965545023833,-7.689962518641741,-7.841291634396422,-7.810433849031419,-7.860930376338153,-7.814540207972799,-7.762121101648509,-7.800510359533304,-7.765563287549543,-7.901335764350623,-7.766020613682823,-7.874402351209518,-7.684002315071365,-7.72059105250599,-7.765491149769486,-7.745199587041418,-7.833299953437535,-7.817328587561948,-7.881844300221057,-7.710754492279497,-7.944905306356577,-7.904766601165892,-7.833197230381621,-7.800689891855641,-7.852828433678382,-7.737470398984787,-7.727133779602433,-7.957899590361585,-7.803725484362828,-7.668547457338029,-7.805843107502862,-7.875184801403006,-7.6728370771522,-7.729157641115614,-7.845506488433811,-7.596259501976784,-7.931042428460941,-7.885573598872406,-7.91456399720291,-7.85966515730361,-7.892039330781997,-7.842417670510887,-7.794760967296556
5,-7.649581767868443,-7.681584304365523,-7.735601588861539,-7.786169522495384,-7.757169671864211,-7.874022229537093,-7.753233418433887,-7.662142956564147,-7.656720072983965,-7.783075639489569,-7.745666506576527,-7.8184157973387425,-7.813080135237897,-7.657548851616157,-7.780187345181201,-7.707865281879664,-7.995137099730985,-7.743026823632554,-7.879182895914226,-7.685474052641082,-7.680131917729037,-7.697644727749047,-7.764947112096257,-7.831811508525317,-7.845732624793902,-7.824115838901386,-7.713957182781177,-7.913645517422752,-7.922276476058218,-7.887025044999357,-7.87938318910566,-7.822084723279088,-7.687893784846111,-7.731777688783771,-7.972035423848416,-7.771295039028312,-7.620074980921634,-7.818662823428765,-7.838772665664272,-7.595335380035786,-7.798247561990881,-7.820349983632819,-7.552543414992347,-7.9559608894709,-7.778263542838421,-7.962243304932363,-7.820043925574814,-7.8640651802354435,-7.79684829043048,-7.746558318260968
6,-7.614756974464873,-7.64037066903506,-7.740925074043822,-7.846106165768569,-7.775784653676798,-7.817774251746118,-7.72695618750057,-7.632019803240509,-7.789266983875716,-7.722849833001244,-7.772242238166888,-7.765551147527656,-7.852968071718907,-7.693359103559432,-7.833259415408804,-7.754360022206386,-8.025295247805943,-7.743928040055517,-7.836670408026211,-7.603826551215907,-7.689540084385369,-7.698655454239839,-7.696241202925907,-7.777811957158033,-7.9126953678461565,-7.8714972520167805,-7.704159741282789,-7.871166605263838,-7.90464842919953,-7.860335725607463,-7.950717935947604,-7.820731557534207,-7.632933843433969,-7.71928593748858,-7.963333017368304,-7.711481156764606,-7.676781087451102,-7.824228667244915,-7.856521803537744,-7.602081886755936,-7.779965107957008,-7.794454335557648,-7.529991028949121,-7.858848052680599,-7.78674456373481,-7.850852362513644,-7.80118845356116,-7.91773477326918,-7.805547183010231,-7.763943777743697
7,-7.625905310881369,-7.630871333231862,-7.697497064490928,-7.796801807517381,-7.764227209077607,-7.788659323807226,-7.681612018170165,-7.617053727238799,-7.748161153730509,-7.782578167024386,-7.716936783444848,-7.689727182321927,-7.8501104510299555,-7.711208866289881,-7.864666708695883,-7.801772048597836,-7.98390603367284,-7.768301907548421,-7.800176389712483,-7.637072032312715,-7.6242891039557135,-7.711089661475784,-7.712657892789308,-7.858789820966777,-8.020614681836323,-7.869895578269158,-7.714068773311676,-7.811411568154249,-7.849034286532435,-7.881856458751462,-7.8131793612795475,-7.805060170497829,-7.594276697353974,-7.662643550793647,-8.021968268804823,-7.695705237086139,-7.62426586398185,-7.8638154723071985,-7.905796138146693,-7.639232764317962,-7.722532798887759,-7.736437295753346,-7.523656793324552,-7.820483097633366,-7.774318507585859,-7.830147477796862,-7.870606267097706,-7.967503517773838,-7.758156470584884,-7.7670675932568
8,-7.62104711174149,-7.607220790056841,-7.701954351522462,-7.795594083293696,-7.750312008349304,-7.813181917338684,-7.584985538173891,-7.598864472900021,-7.771140605075442,-7.758291530356946,-7.636792434715927,-7.723385269964508,-7.810160675601875,-7.653945649313524,-7.834141237517276,-7.858761351682602,-8.019830555963239,-7.704061608449416,-7.737970135162549,-7.646319731907528,-7.7082567609259325,-7.689410007042153,-7.671528605761473,-7.864453818363582,-8.048262265737234,-7.9098420398297025,-7.660736205186575,-7.847009971653918,-7.821361562854127,-7.836969738620013,-7.910989484396185,-7.847653112938143,-7.609441081696139,-7.7218541296209855,-7.958909021634907,-7.678297336712479,-7.570820360388299,-7.897106107785887,-7.870643625004495,-7.649934400387845,-7.651382305035158,-7.734323634101896,-7.535669297197096,-7.8539871201299425,-7.756303968714938,-7.781632236268108,-7.905822196851157,-7.9408721819833,-7.760406491150464,-7.776908172338079
9,-7.623046552497411,-7.652440106657417,-7.682949254262449,-7.834000796828194,-7.844525133823165,-7.831161860419421,-7.640138291428571,-7.661811935511133,-7.769806484210981,-7.711186462376556,-7.678773579734199,-7.627691116758681,-7.842026804175685,-7.548667682074176,-7.792543210376727,-7.831323979497793,-7.931527883676191,-7.655969844093721,-7.759235659832425,-7.662624992264579,-7.689636317130998,-7.715242628683077,-7.676038474024899,-7.864104860790371,-7.927495671725628,-7.901053209850848,-7.696177291636875,-7.84607791544989,-7.756338689342716,-7.85713608465837,-7.7831331345522,-7.829812030554935,-7.588164623241569,-7.681445945275043,-7.954312316003381,-7.668119786621471,-7.578805674656933,-7.866549392163272,-7.852717329520812,-7.607909825962559,-7.649998528725305,-7.735287368690897,-7.544309103130288,-7.912963448416974,-7.710688627477483,-7.778758013982899,-7.903705135579472,-7.892655121669174,-7.730131150887943,-7.744244316581141
10,-7.626094834241904,-7.560203241274777,-7.752171603333777,-7.842640797517326,-7.780693435176678,-7.82259563793349,-7.604697676957656,-7.661987262003259,-7.77426905823536,-7.75688675942872,-7.639334472450421,-7.62330729052327,-7.819442229006277,-7.592635798799023,-7.717348222240017,-7.733307906693952,-7.972255702548721,-7.608614696666149,-7.719971891372474,-7.678021023121437,-7.660048644906531,-7.668589656191519,-7.668468788303353,-7.804782498415482,-7.893000430780238,-7.908125330606957,-7.680208907676178,-7.804424439163561,-7.834294426192759,-7.87704405304761,-7.626434734850491,-7.7420704573603185,-7.593428041299143,-7.619241753338087,-7.892358218133838,-7.713306220383601,-7.569532877119776,-7.87673693673884,-7.883473379619933,-7.625676750666952,-7.663506310456193,-7.7399583697682655,-7.526998563090462,-7.977037707129775,-7.78773786722649,-7.765124880194515,-7.966985795722533,-7.911096845120721,-7.691069214257084,-7.73673700097248
