seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap
1,-7.810233544356341,-19.499486138894653,4922,-19.3311246058162,-7.168610518810231,415,0.16836153307845336
2,-7.761756418209073,-19.35021093435877,4923,-19.19645428651824,-7.109245760836546,123,0.153756647840531
3,-7.783178995906609,-14.81621758445643,4952,-14.492417745789414,-7.116389383266747,272,0.323799838667016
4,-7.800926967651945,-9.97347752131443,4369,-9.79559815247436,-7.155940523264261,290,0.17787936884007038
5,-7.773911457044587,-20.307286976308923,4805,-20.002258330265672,-7.334790007328281,116,0.305028646043251
6,-7.928265620764854,-20.021630761980443,4840,-19.7089309556991,-7.092393994796114,412,0.3126998062813442
7,-7.78339665752141,-20.424201259309854,4991,-20.26243031288992,-7.192320397235923,338,0.16177094641993506
8,-7.834652173825567,-19.833078759372302,4936,-19.80749565292308,-7.192076524076831,395,0.025583106449222015
9,-7.845043019575761,-14.740077687545256,4959,-14.716777667832384,-7.145781640523052,207,0.0233000197128721
10,-7.891871269002158,-20.29513230284545,4976,-20.221041414999004,-7.173770978482051,412,0.07409088784644524
