seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap,ar1_phi,null_gap_median,null_gap_p05,null_gap_p95,gap_percentile_in_null,null_epoch_of_min_median
1,-7.810233544356341,-7.9054411413441565,97,-7.631328241083996,-7.168610518810231,415,0.27411290026016033,0.9428092192567209,0.3383838414120093,0.14974417031216597,0.5172712515811324,0.296,8.0
2,-7.761756418209073,-7.770362153132949,481,-7.607602633560432,-7.109245760836546,123,0.16275951957251777,0.9717216998333805,0.34691802316432696,0.08940218339819875,0.6177272540087205,0.1235,58.5
3,-7.783178995906609,-7.813117811321851,2,-7.456481823124858,-7.116389383266747,272,0.3566359881969925,0.9505109656386251,0.3179459703154359,0.131729225659709,0.5279876203214268,0.615,18.0
4,-7.800926967651945,-7.846106165768569,6,-7.400281293667626,-7.155940523264261,290,0.44582487210094346,0.9306942930374461,0.3169286859954732,0.1551491373980217,0.497950396681746,0.891,7.0
5,-7.773911457044587,-7.93449393676917,20,-7.884632456002582,-7.334790007328281,116,0.04986148076658736,0.9361733502191294,0.30648596223530333,0.12974844817960102,0.4982171670368429,0.0035,17.0
6,-7.928265620764854,-7.928265620764854,1,-7.260630817413885,-7.092393994796114,412,0.6676348033509694,0.9475473388641023,0.4192030858837388,0.2609835238253639,0.5877518160722169,0.9955,1.0
7,-7.78339665752141,-7.887572468443148,178,-7.435565027881048,-7.192320397235923,338,0.45200744056209974,0.9624231227251403,0.3413092408101517,0.1124303166319499,0.5950031935599965,0.7875,29.0
8,-7.834652173825567,-8.001977126747382,73,-7.289242360547211,-7.192076524076831,395,0.7127347662001711,0.9599775367099507,0.34855433177025263,0.1512919331922836,0.55234657607285,0.999,5.0
9,-7.845043019575761,-7.845043019575761,1,-7.419122578060169,-7.145781640523052,207,0.4259204415155917,0.9612980233216917,0.3547105052815276,0.15747355708747376,0.5794171087325182,0.709,6.0
10,-7.891871269002158,-7.989444822178914,55,-7.507536986105458,-7.173770978482051,412,0.48190783607345633,0.954043889542896,0.386904565679163,0.2030654972980094,0.5827508268051401,0.787,2.0
11,-7.822479387814324,-7.860075129893997,2,-7.4644331684725245,-7.204291455898817,263,0.39564196142147257,0.9510398829060128,0.3211652155386062,0.16817398870117053,0.4895678852400616,0.773,3.0
12,-7.862926852658152,-7.884147051288874,3,-7.257996224194297,-7.102454319548966,151,0.6261508270945768,0.9702711404430503,0.3742277019055269,0.1577639157578194,0.5961489474522883,0.9655,4.0
13,-7.830455048389607,-7.9280772911064465,22,-7.509567082730079,-7.256291771223421,282,0.4185102083763672,0.9235370536378269,0.330273080896764,0.18122954005530106,0.48508841188328417,0.8375,3.0
14,-7.781695205806397,-7.843680195062883,491,-7.843417941597458,-7.300830787652658,197,0.0002622534654248554,0.9493206015443173,0.31754228428001197,0.13410894495644787,0.5363940798137027,0.0015,17.0
15,-7.826027284416073,-7.950035639149762,72,-7.488873472999208,-6.961645502277991,386,0.4611621661505545,0.9655794047257708,0.3513843287815397,0.11799961947150535,0.5999038876393654,0.765,11.0
16,-7.736696908904092,-7.957400301594477,121,-7.691589242245513,-7.191893097721804,342,0.2658110593489642,0.9495686276545037,0.30220682004069754,0.11010310632784233,0.5142366617141313,0.375,46.0
17,-8.033061873924515,-8.033061873924515,1,-7.46155553139987,-7.163208914675317,277,0.5715063425246454,0.9536930912312505,0.523137289811423,0.32203301314244315,0.7182184575148162,0.649,1.0
18,-7.7717054647330865,-8.004538997164813,40,-7.498325231336959,-7.20285075258225,337,0.5062137658278543,0.9484951846305845,0.315361748045897,0.12328787376552057,0.5403986874416234,0.9165,20.0
19,-7.801019350024,-8.096278639650524,33,-7.529536045077482,-7.18168823170569,145,0.566742594573042,0.9490016626618492,0.40480921328460884,0.1375136240845128,0.6960551998727703,0.8245,48.0
20,-7.7394908068471775,-7.846452706121103,63,-7.678399273256884,-7.166859348167265,161,0.1680534328642187,0.9229435595935618,0.30283514111770327,0.12456873925888878,0.4943783524739193,0.107,25.0
21,-7.754212644294327,-7.7580850068838,203,-7.414996117761581,-7.15654012931369,344,0.34308888912221835,0.9569803846805065,0.31648212345571114,0.09371681147344449,0.5321847721273413,0.571,44.5
22,-7.844223199861265,-7.89845651518988,30,-7.70324966573281,-7.062754112280247,355,0.1952068494570698,0.967524407654569,0.36118919041305997,0.13681146844859976,0.6020158760676806,0.1045,8.0
23,-7.889429981971665,-7.889429981971665,1,-7.794500204342336,-7.144977504029402,220,0.09492977762932853,0.9600310855271325,0.40029051022334183,0.19149776846828045,0.6139846326660913,0.008,3.0
24,-7.813571738540002,-7.864453818363582,8,-7.500741739781981,-7.275417224153682,422,0.36371207858160126,0.9174593245285855,0.33430677902160477,0.16230467702570728,0.5068069989102079,0.619,7.0
25,-7.9092949668134,-8.048262265737234,8,-7.713051667145825,-7.364407123113903,379,0.33521059859140934,0.9349311018261685,0.41192629114963397,0.21210802894547526,0.6102315435958576,0.28,2.0
26,-7.869761282950317,-7.9098420398297025,8,-7.565753164056457,-7.19443780494874,164,0.3440888757732452,0.9499429279976656,0.3722167995637924,0.18764364037405906,0.5385579442267897,0.398,2.0
27,-7.840603547132447,-7.840603547132447,1,-7.482629265835344,-6.987036169999444,352,0.3579742812971025,0.9591093665959107,0.3611992957331549,0.1505797196058413,0.5850374223491527,0.4875,5.0
28,-7.837869535690879,-7.991253806028774,28,-7.461342891757972,-7.20195279468072,354,0.5299109142708023,0.952946076770117,0.3557230578320172,0.15563175934075008,0.5774438570540861,0.9065,6.0
29,-7.905522733181329,-7.996831443324701,15,-7.565171327388866,-7.106274380207078,394,0.4316601159358351,0.9589219322396788,0.410371325655809,0.20341466456568819,0.6252454052448159,0.5595,2.0
30,-7.873646032218475,-7.891390299609665,11,-7.451267139696248,-7.210987386462858,348,0.44012315991341744,0.912599958226355,0.37052803054870465,0.21585752700922617,0.5166003502028125,0.7895,2.0
31,-7.890439771141516,-7.950717935947604,6,-7.379665081179557,-7.1011110459443065,235,0.5710528547680465,0.9599117387281053,0.41205670374109715,0.17583232840080906,0.6555521955247757,0.865,5.0
32,-7.88704313475473,-7.903897926290575,2,-7.290401851246381,-7.183657495089189,319,0.6134960750441936,0.945415103204728,0.3824386958884838,0.21075737590558669,0.5738350816451325,0.9725,2.0
33,-7.733034166402842,-7.785456860401037,46,-7.553631842036049,-7.195245636392851,418,0.23182501836498748,0.9243600548855174,0.28253702915932744,0.12375942706619565,0.44653979704058033,0.315,20.0
