sweep,thermo,learning,spearman_pooled_levels,spearman_within_seed_median,spearman_increments
500ep,E,KL,0.5363227742801965,0.550567002268009,-0.15647106130316887
500ep,E,recon_sq,0.5097584570903015,0.5469840759363037,-0.3908299838110255
500ep,E,recon_ce,0.517204952770184,0.5406164184656738,-0.2131390436465523
500ep,S,KL,0.9355526898179083,0.9588007152028607,-0.48706951965380374
500ep,S,recon_sq,0.9692785389414377,0.9964176496705985,0.11085087724044144
500ep,S,recon_ce,0.957320601468225,0.9835768303073211,-0.4109671808672268
500ep,F,KL,-0.4042505176559528,-0.45072785091140366,-0.12436478429111919
500ep,F,recon_sq,-0.4439087906302541,-0.4741288565154261,-0.40078324893748235
500ep,F,recon_ce,-0.4306740031674144,-0.4732004848019392,-0.18579420245253156
500ep,F_data,KL,-0.24343283702181254,-0.26937789351157404,-0.08443726306952384
500ep,F_data,recon_sq,-0.2878593377600309,-0.2951362845451382,-0.4005630871480141
500ep,F_data,recon_ce,-0.27220760346862016,-0.2961211044844179,-0.1471958482530685
5000ep,E,KL,0.9676440936337777,0.953943454941738,-0.1894583027893531
5000ep,E,recon_sq,0.9900782658191354,0.993984805983392,0.02637980590970596
5000ep,E,recon_ce,0.9935659151660025,0.9974741881549674,-0.09239230571101457
5000ep,S,KL,0.908439721334416,0.9417712360708494,-0.7516140934346478
5000ep,S,recon_sq,0.9412509796527245,0.9912504764660188,-0.023805200058961983
5000ep,S,recon_ce,0.9496703792865563,0.9937500286620009,-0.2789640388452094
5000ep,F,KL,0.9678704735884603,0.9540397066575882,-0.07585965187790518
5000ep,F,recon_sq,0.9885554153648624,0.99209350366774,0.03568464265544862
5000ep,F,recon_ce,0.990809945149092,0.9958831408753255,-0.04885279973860323
5000ep,F_data,KL,0.9709215132048487,0.9560873570754942,0.023201150956235837
5000ep,F_data,recon_sq,0.9903964033642226,0.9927514982060598,0.06668059328180223
5000ep,F_data,recon_ce,0.9922429749772173,0.996407679616307,0.0071899983801052
