epoch,1,2,3,4,5,6,7,8,9,10
1,-3.224252508980136,-3.1057305395747625,-3.447723622108808,-3.1117726722536565,-3.2356261062697333,-3.33534276554186,-3.2202322000149004,-3.265554947285968,-3.0828814401913647,-3.377533783740317
2,-3.188974008227464,-2.996746428018655,-3.2795503136306614,-3.078710143895521,-3.081940809039316,-3.2597949434727416,-3.0136343510000057,-3.124070648709304,-2.9244789529810475,-3.177894617758882
3,-3.1396610910973037,-2.9236381019073545,-3.285338620309149,-3.095810920609521,-3.070737734707011,-3.244028738422096,-2.968359927915815,-3.0300299744322032,-2.944109771587172,-3.219123757240044
4,-3.045817895898073,-2.931974962073605,-2.945793895484528,-3.0947934915146624,-3.0472352434880263,-3.188133986130816,-3.028607241631092,-3.091282439533947,-3.027777430887254,-3.1470997111719297
5,-2.898044387436668,-2.9573137541331933,-2.840889181863346,-3.1111751569299666,-3.163269950462049,-3.101225986167904,-2.947004794062613,-3.133874913288198,-3.1868157671686093,-3.251959664780647
6,-2.880124999752005,-2.8913596724399557,-2.86917464191817,-3.2334966718259484,-3.216142218520607,-3.019675982702648,-2.9677986483513363,-2.989550096656185,-3.0103357666767314,-3.172811093502825
7,-2.988705897586659,-2.9214937199826165,-2.928723477395222,-3.155910762661532,-3.2082531513058195,-2.89016437338317,-3.086206478139572,-3.0254193347385945,-3.096851755522407,-3.1887697018511028
8,-2.976656146281609,-2.928488664707301,-2.9973858050738738,-2.973955394615216,-3.202683450705958,-2.8870528013683843,-3.002193347040238,-3.0531177107226743,-3.0198404669857943,-3.223936485604475
9,-3.133133262205654,-2.9590943760822754,-3.0585280053097783,-2.9072542597211024,-3.2555883794686635,-3.017030335302497,-2.9393342309063684,-3.105272372489602,-2.949484843122224,-3.07195833395502
10,-3.088067319092546,-3.056224326768221,-3.054250250516696,-2.9618755434163275,-3.0592576851396838,-3.02986195656692,-2.939619423976067,-3.0610188976464507,-2.998120254529064,-3.1623571781453443
11,-3.0556908033440373,-3.110101353993229,-2.9117225688911663,-2.9623650723992743,-3.0195096477883814,-2.954745300655372,-2.9136798411050786,-3.04376905311447,-3.092426564066124,-3.337680074611261
12,-3.168807079522107,-3.045773421702595,-2.9728211040418646,-2.9996613531045684,-2.922402794216464,-2.9859233073142213,-3.021855200934332,-3.065366092317351,-3.068613150565944,-3.298512505526439
13,-3.0191137336546405,-2.9734897814004184,-2.9317364516328204,-3.073920499854904,-2.9254108066155253,-3.074705876692467,-2.949556422651228,-2.992695800382214,-3.099284333301401,-3.21676647273516
