epoch,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,-3.224252508980136,-3.1057305395747625,-3.447723622108808,-3.1117726722536565,-3.2356261062697333,-3.33534276554186,-3.2202322000149004,-3.265554947285968,-3.0828814401913647,-3.377533783740317,-3.1854304558048034,-3.332904712722089,-3.1489988343239643,-3.2356650624875187,-2.95679439742447,-3.3793337307520623,-3.2538628569962254,-3.1167195197968125,-3.18077131225377,-3.1506113136086067,-3.2749165697944687,-3.4453590702204613,-3.414634137846699,-3.4532796595126194,-3.431907868046719,-3.182856572938611,-3.256844430324948,-3.237387632035636,-3.3751983919491297,-3.2662403176631103,-3.477877631485658,-3.419948732574289,-3.2604970323869003,-3.0430976860742898,-3.2521557852748986,-3.0317555125025115,-3.2220359490472767,-3.169518934402501,-3.49998904063214,-3.0751131947061743,-3.2328376076198078,-3.4887725265367826,-3.284101164478284,-3.16324932070933,-3.284384100000534,-3.227803532412997,-3.3829310373192363,-3.148332217793553,-3.2155455769031147,-3.4546105055587373
2,-3.188974008227464,-2.996746428018655,-3.2795503136306614,-3.078710143895521,-3.081940809039316,-3.2597949434727416,-3.0136343510000057,-3.124070648709304,-2.9244789529810475,-3.177894617758882,-3.0657519964212945,-3.227408765808069,-3.0206940252195422,-3.2999506782092323,-3.081960869518596,-3.311262096652269,-3.1157982699510294,-3.146720438392989,-3.1127693688322484,-3.2224068464948536,-3.103259685654701,-3.2287519489751504,-3.509953335871152,-3.151341238994664,-3.159930023573727,-3.204146917565909,-3.0853530912036176,-3.303544421887173,-3.282718733089593,-3.1057127713577968,-3.3538805614310903,-3.1552117672574305,-3.206429329221564,-3.039006040186258,-3.200138600702616,-3.1056077265974564,-3.173434535794013,-3.2261080362726853,-3.3705660248668483,-3.115375679159551,-3.0476162837168284,-3.4109788199037814,-3.246466103167649,-3.0885905963532627,-3.275502884801436,-3.268381172074616,-3.294233161861696,-3.104914502647776,-3.125856990123952,-3.201245836938051
3,-3.1396610910973037,-2.9236381019073545,-3.285338620309149,-3.095810920609521,-3.070737734707011,-3.244028738422096,-2.968359927915815,-3.0300299744322032,-2.944109771587172,-3.219123757240044,-3.1174644560909326,-3.2256686422981,-2.999720851506365,-3.2554755485263445,-3.0599382139903226,-3.245681633130687,-3.221507731155003,-3.102629046809936,-3.1513464274578054,-3.171904666641745,-3.1218566884598524,-3.24386456113036,-3.3361534751947897,-3.152832995854813,-3.165999900511592,-3.1748758469865423,-2.9042835156460463,-3.2587729010792854,-3.3658118523203617,-3.090838176857021,-3.2232166322560585,-3.106471069321489,-3.106228510812611,-2.93484024934826,-3.2499300982410766,-3.019829244893633,-3.144597558394864,-3.058737111741121,-3.055449021661908,-3.087554900299021,-2.877975822794852,-3.26547483472671,-3.028261029058178,-3.0775397852507247,-3.160087991212664,-3.223937005875681,-3.19526267146502,-3.0853539013405933,-3.2434817481669733,-3.2827385536409657
4,-3.045817895898073,-2.931974962073605,-2.945793895484528,-3.0947934915146624,-3.0472352434880263,-3.188133986130816,-3.028607241631092,-3.091282439533947,-3.027777430887254,-3.1470997111719297,-3.106041445348027,-3.230067246984502,-3.1152321095647912,-3.1400539606129447,-2.912121422584963,-3.113781974067372,-3.1306808195782616,-3.1913528164906886,-3.3008272124992337,-3.155009798160462,-3.1033395907472068,-3.1136839252502067,-3.1609980333156105,-3.002635368295788,-3.0113401410771985,-3.140581185314557,-3.1065439716261083,-3.284152620299482,-3.14522494006471,-3.090820275738387,-3.1969611057857503,-3.0465863436198872,-3.218263670127169,-2.8931608359565764,-3.2273454203433616,-3.0692905341142813,-2.904872560014942,-3.0673343009863543,-3.1777981597967173,-3.0934055873689155,-2.920322207785069,-3.3006878516849367,-2.96671178402588,-3.0550568236681643,-3.196528697209051,-3.1141763654301298,-3.173045462173808,-2.9684253615487157,-3.178095849105636,-3.328499214562058
5,-2.898044387436668,-2.9573137541331933,-2.840889181863346,-3.1111751569299666,-3.163269950462049,-3.101225986167904,-2.947004794062613,-3.133874913288198,-3.1868157671686093,-3.251959664780647,-3.142713885456268,-3.1171213724198856,-3.1488409292940984,-3.256403426841992,-2.9501819737894968,-3.2134071361034287,-3.1398646618898542,-3.334616370982654,-3.223828660062316,-3.238922705143042,-3.086604748097739,-3.011517462251102,-3.067571247827609,-3.0671678352664613,-3.1460004921535965,-3.182483782369117,-3.10954333302194,-3.183275529452706,-3.293432337188296,-3.16763885217502,-3.160538818309376,-3.1342665884506307,-3.1824518015023293,-3.0021957070488474,-3.0685161831731045,-2.986512117256325,-2.950790962980614,-3.030722668887919,-3.07774964572261,-3.067032156497212,-2.9565077833199136,-3.236658107259544,-2.905783595660464,-3.0183453717304847,-3.274021557789052,-3.054380421076112,-3.0785904744157486,-3.0311823221977345,-3.1529468991680774,-3.238702685671852
6,-2.880124999752005,-2.8913596724399557,-2.86917464191817,-3.2334966718259484,-3.216142218520607,-3.019675982702648,-2.9677986483513363,-2.989550096656185,-3.0103357666767314,-3.172811093502825,-3.09552428551836,-3.2885536261824444,-3.1192179950386247,-3.218886257945007,-3.034318319303885,-3.379168757920572,-3.052143369389245,-3.147747628659766,-3.10274175086043,-3.346540590548321,-3.052609123653678,-3.123301541935545,-3.061535265776557,-2.947026939001604,-3.291779056392543,-3.167828914098903,-3.1462684603616977,-3.117393115382297,-3.116857870942784,-3.186385744397205,-3.1396666060509784,-3.287337408385017,-3.1913545585371,-2.9909514503590704,-3.085515534475675,-2.9285356619892724,-3.0208290959777355,-3.0145745054754136,-3.0470294500331674,-3.067594655528667,-2.979863913217233,-3.236236175606747,-2.9678035077249287,-3.077020326385091,-3.2166083090694397,-3.079729718166242,-3.011311022641694,-2.977458074395133,-3.2425202378448907,-3.232332139450252
7,-2.988705897586659,-2.9214937199826165,-2.928723477395222,-3.155910762661532,-3.2082531513058195,-2.89016437338317,-3.086206478139572,-3.0254193347385945,-3.096851755522407,-3.1887697018511028,-3.029254209842299,-3.1402193945539305,-2.9823489998185986,-3.178284755736454,-2.9863803150603885,-3.277534489617348,-3.0392415173901237,-2.945414714201157,-3.0280893970953757,-3.111967197783946,-3.0709307180091816,-3.058508829727659,-3.0528147041948333,-2.9833603211470283,-3.178365981642452,-3.2185655561373347,-3.2858805154425155,-3.0224946849541925,-3.1492229378368326,-3.1257160398750696,-3.032394860734065,-3.1950565971676186,-3.189911015496436,-2.871774766126681,-3.077194040103261,-2.927920814544778,-3.046474440637354,-2.9755705384542384,-3.0071736329558942,-3.153986790840152,-2.897962998414797,-3.116920863072928,-2.9603331124876764,-3.086778400216527,-3.185794943221625,-3.0739168461234496,-3.126238115767152,-2.977570759326663,-3.181552317354215,-3.240872916771516
8,-2.976656146281609,-2.928488664707301,-2.9973858050738738,-2.973955394615216,-3.202683450705958,-2.8870528013683843,-3.002193347040238,-3.0531177107226743,-3.0198404669857943,-3.223936485604475,-2.868827299057663,-3.084446112325616,-3.022893539567777,-3.1323125830395906,-2.9542707555693486,-3.038076418385953,-3.0479418091480173,-2.8686818050051777,-3.120811980154465,-3.1367066944181947,-3.016996450390952,-2.9116054562231173,-3.0690296024841017,-3.008672249032329,-3.143670656659691,-3.197156952784255,-3.470887292271351,-2.966671211512322,-3.1823168921010776,-2.9704151487337667,-2.94227047061484,-3.1210126171332138,-3.1876632111038616,-2.9907008676015256,-3.16693186846317,-2.954195657167074,-3.0557960454731377,-3.090015761718183,-3.032786909692736,-3.1295737634480503,-2.96498944581526,-3.1027349460638987,-2.874953919375411,-3.080928092233159,-3.161245471776482,-3.0817106569649986,-2.99497075512682,-3.086533913068392,-3.1659539589744625,-3.074570640402293
9,-3.133133262205654,-2.9590943760822754,-3.0585280053097783,-2.9072542597211024,-3.2555883794686635,-3.017030335302497,-2.9393342309063684,-3.105272372489602,-2.949484843122224,-3.07195833395502,-3.005144010768252,-3.1453664050906376,-3.0348157064164623,-2.9851754856750063,-3.006022660718628,-2.9515582876545,-2.9694151520872696,-2.84154972229486,-3.14972646226318,-3.136794496837541,-2.983919675937965,-3.13831779531842,-3.102940342938477,-3.031436738491897,-3.07958647631777,-3.021983039695815,-3.185360837850034,-2.836750187684974,-3.0800055387811107,-2.9416850604387657,-3.00296296193362,-3.0991387555058787,-2.9645247396660195,-3.036087241050474,-3.027040210875522,-3.039111045937047,-3.020321207807935,-3.1154604227000853,-3.044046950544799,-3.181336239288454,-2.916017373908113,-3.1447955379941672,-2.892503016823356,-3.1492173555823366,-3.067436443321313,-3.03407818495377,-3.1693874551255194,-3.147807223896974,-3.0768544509115374,-3.0903528542660497
10,-3.088067319092546,-3.056224326768221,-3.054250250516696,-2.9618755434163275,-3.0592576851396838,-3.02986195656692,-2.939619423976067,-3.0610188976464507,-2.998120254529064,-3.1623571781453443,-3.230454436850213,-3.08625965111242,-2.9060440419991966,-2.9732630329295837,-2.997490571401942,-3.106455767035389,-2.9805401380602388,-2.931809387595345,-3.1032884067112243,-3.0840286330594577,-2.9779597233521176,-2.9765828894509347,-3.044891533711996,-3.0160510901651136,-3.0914264110907688,-3.022652111976343,-3.0468418960353016,-2.866358614941411,-2.9494427108852768,-3.015196784442173,-2.999181230457615,-3.109960929131768,-2.8868967733414803,-3.010804826491678,-2.931827691130164,-2.904426232113115,-3.1869994829008275,-3.044499178970983,-3.09887571853276,-3.2584611585299594,-2.930546165979396,-3.123583810162432,-2.9483792029194063,-3.231376985586377,-2.993356754885679,-2.9999676205091936,-3.2530801981286324,-3.2204020407519707,-3.0770776143093364,-3.138585265453955
