sweep,thermo,learning,spearman_pooled_levels,spearman_within_seed_median,spearman_increments
500ep,E,KL,0.961558464467961,0.977754983019932,-0.6707256209095908
500ep,E,recon_sq,0.9773949954836714,0.9953546369717083,-0.166263689506441
500ep,E,recon_ce,0.9769613683904897,0.9951626838379569,-0.3377499999376007
500ep,S,KL,0.9716625365188737,0.9726615853340973,-0.7940560723189237
500ep,S,recon_sq,0.9931517733380366,0.9951167961175211,-0.2508241707159554
500ep,S,recon_ce,0.9927592309694013,0.9948811151561209,-0.4390359795209065
500ep,F,KL,0.9460704878374548,0.9695369661478646,-0.5381907145458656
500ep,F,recon_sq,0.959597323732371,0.9866073704294815,-0.09025511205700795
500ep,F,recon_ce,0.9591965513497706,0.986568874275497,-0.24894750086045356
500ep,F_data,KL,0.9556242208748689,0.9768869458784941,-0.2905667834131196
500ep,F_data,recon_sq,0.9673013932234955,0.9913589572296775,0.06927276729582438
500ep,F_data,recon_ce,0.9670299141817762,0.9913400451548726,-0.0578459332013871
5000ep,E,KL,0.12438581532249435,0.145860903755887,-0.6933546831883989
5000ep,E,recon_sq,0.7712018710240807,0.9919788575132991,-0.023638543008319465
5000ep,E,recon_ce,0.7732586980646009,0.9915139714937276,-0.1715893716602212
5000ep,S,KL,-0.0996045703011427,-0.06493817614038497,-0.7929529038099044
5000ep,S,recon_sq,0.8001357614495129,0.8197054243842902,-0.1775532960172985
5000ep,S,recon_ce,0.7983688612721763,0.8190182751207182,-0.29610124339455185
5000ep,F,KL,0.1393346149294712,0.15840256805193925,-0.5526701344280401
5000ep,F,recon_sq,0.7611363608993225,0.9956480144541489,0.06324118757985882
5000ep,F,recon_ce,0.7633821168446207,0.9952139331052733,-0.08991804694705735
5000ep,F_data,KL,0.1607905898453458,0.17802557852708284,-0.33655888993938227
5000ep,F_data,recon_sq,0.7623389276002295,0.9980263402474856,0.20197290499093606
5000ep,F_data,recon_ce,0.7647787944516877,0.997753393117526,0.05751652249317852
