seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap
1,-6.372861131853076,-22.56586613591157,4736,-22.482290089470187,-5.579630548174786,68,0.08357604644138306
2,-6.237451307446929,-20.02826214324864,4878,-20.00943046710953,-5.605105394250563,175,0.018831676139107856
3,-6.643499872684402,-19.78734033153535,4883,-19.67046492881549,-5.546567648540156,146,0.11687540271985952
4,-6.249783620815509,-20.975938277487323,4978,-20.94216873805652,-5.467708553984797,183,0.03376953943080352
5,-6.351086993903529,-23.5340129077538,4999,-23.5340129077538,-5.588746434474722,119,0.0
6,-6.547047133441634,-23.51600025681261,5000,-23.51600025681261,-5.414562531832477,227,0.0
7,-6.313411631225463,-20.37351558927591,4651,-20.222055653715845,-5.495044907854418,139,0.15145993556006587
8,-6.415089802308593,-21.35130781847919,4970,-21.34890393145516,-5.5881689245899295,130,0.0024038870240303822
9,-6.294386823079823,-22.53457410982188,4981,-22.46470146663705,-5.584318742280905,180,0.06987264318483
10,-6.533766892477592,-24.20518620781565,4976,-24.13064509523332,-5.697932239464357,175,0.07454111258233098
