seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap,ar1_phi,null_gap_median,null_gap_p05,null_gap_p95,gap_percentile_in_null,null_epoch_of_min_median
1,-6.372861131853076,-9.91978121757828,496,-9.884006734203252,-5.579630548174786,68,0.03577448337502709,0.9461830809572918,0.1115815518978236,0.0,0.38577230141707314,0.2705,496.0
2,-6.237451307446929,-9.83200316585568,495,-9.62967700535732,-5.605105394250563,175,0.20232616049835883,0.8814593979811587,0.11904532546214686,0.0,0.3531685316516034,0.7445,496.0
3,-6.643499872684402,-9.432599627697574,496,-9.330837254116526,-5.546567648540156,146,0.10176237358104778,0.867359531239178,0.11679595728645342,0.0,0.3575221110208337,0.4545,496.0
4,-6.249783620815509,-8.565623768192111,469,-8.36204127520206,-5.467708553984797,183,0.20358249299005138,0.9760459982881511,0.10856990262882693,0.0,0.43444461435289616,0.717,496.0
5,-6.351086993903529,-9.438013623508064,500,-9.438013623508064,-5.588746434474722,119,0.0,0.8109617341052973,0.09279049340325507,0.0,0.297518903482912,0.0,497.0
6,-6.547047133441634,-9.316858889680772,500,-9.316858889680772,-5.414562531832477,227,0.0,0.9249478467118563,0.0742317716386971,0.0,0.2643866237139239,0.0,497.0
7,-6.313411631225463,-9.312058213274826,483,-8.941709532783348,-5.495044907854418,139,0.3703486804914782,0.8149897038863483,0.10530864351960201,0.0,0.32940132863795313,0.971,497.0
8,-6.415089802308593,-9.318583638886398,500,-9.318583638886398,-5.5881689245899295,130,0.0,0.8417756055420504,0.07281356794762495,0.0,0.25042443789501245,0.0,497.0
9,-6.294386823079823,-9.89193334615432,496,-9.756915935024546,-5.584318742280905,180,0.13501741112977328,0.9311269265486527,0.09511511778032311,0.0,0.3405875506503604,0.6275,497.0
10,-6.533766892477592,-9.895541749663224,498,-9.755492231740051,-5.697932239464357,175,0.14004951792317222,0.9451203919483906,0.08531209421983554,0.0,0.3125013273762811,0.6825,497.0
11,-6.38346941754049,-9.149735250953494,473,-8.917112535995686,-5.56149459787149,141,0.23262271495780773,0.8852050333136591,0.10941859052208347,0.0,0.3664369389131203,0.7945,496.0
12,-6.44728480738113,-9.682866322205667,498,-9.541639115039574,-5.546414139093469,177,0.14122720716609294,0.9107839641398741,0.08362527612162651,0.0,0.30198147247891494,0.6935,497.0
13,-6.418122579459783,-9.264314641421404,500,-9.264314641421404,-5.565954141114118,191,0.0,0.8244596490546617,0.10354202653002442,0.0,0.3227276433310928,0.0,496.0
14,-6.437476000903508,-8.727989154030094,488,-8.6161253903555,-5.542474707037445,151,0.11186376367459516,0.9028539486346201,0.12174568381925077,0.0,0.40905340021690345,0.4675,496.0
15,-6.062289718924717,-9.355201761919698,495,-9.29275879952055,-5.559587844705484,154,0.06244296239914782,0.825527579389813,0.10447418437549505,0.0,0.3312075866468678,0.3575,497.0
16,-6.561918307641662,-9.420088426340294,500,-9.420088426340294,-5.418184118928434,154,0.0,0.8122797487326842,0.0843028524661884,0.0,0.2699609637107159,0.0,497.0
17,-6.484591366806206,-8.981572805728632,488,-8.944309895787312,-5.539178231471374,188,0.03726290994132064,0.8763310184506766,0.08937726575730576,0.0,0.2978011022746514,0.3015,497.0
18,-6.332545733833443,-9.114236032327184,497,-8.973897042063454,-5.644722082225817,195,0.14033899026373042,0.8753088473653415,0.09922289078026303,0.0,0.33331464039560565,0.633,497.0
19,-6.282271916513751,-9.261779787406873,490,-9.17942239937832,-5.575008606298407,108,0.0823573880285533,0.8799032647610509,0.10307360403126165,0.0,0.3302567802430985,0.4335,497.0
20,-6.304491770688174,-9.169065311403251,500,-9.169065311403251,-5.563718151545802,194,0.0,0.8947397061521076,0.09078484196340852,0.0,0.2954935650029189,0.0,497.0
21,-6.426489385289841,-9.978191922714664,492,-9.830526807625974,-5.669428230282502,183,0.1476651150886905,0.9556458726954711,0.1140261935575726,0.0,0.4005829826393227,0.5865,496.0
22,-6.54946065967436,-8.636900450832938,494,-8.549979956739962,-5.521627996107687,178,0.08692049409297553,0.9634788846070093,0.11648326825373001,0.0,0.4353501593623159,0.417,496.0
23,-6.533738815236748,-9.295832578457322,496,-9.038871780322644,-5.546934616541322,178,0.25696079813467776,0.8504358388175896,0.08575237116386258,0.0,0.2779247363879453,0.9325,497.0
24,-6.569446239733266,-8.975021107917154,500,-8.975021107917154,-5.5670645900344375,85,0.0,0.9149556189107323,0.12708926487619987,0.0,0.4456038170789953,0.0,496.0
25,-6.607435409088979,-8.432794815674951,498,-8.370212177692276,-5.600837232364967,186,0.06258263798267549,0.968226152751211,0.11975554892091811,0.0,0.44418610443314593,0.351,496.0
26,-6.315712436343015,-9.141713857160315,499,-9.020385147628753,-5.48787130231104,165,0.1213287095315625,0.9312601600980286,0.08866079965458873,0.0,0.3118146479510535,0.606,497.0
27,-6.45614648981775,-9.339586440363297,500,-9.339586440363297,-5.636339998623282,136,0.0,0.8918981882635648,0.09381766701841965,0.0,0.3082561349303682,0.0,497.0
28,-6.393039399194702,-9.793824831152406,499,-9.78148920909574,-5.605562915885197,105,0.01233562205666594,0.9173986734611201,0.09624169572936747,0.0,0.32770722978495065,0.2225,496.0
29,-6.630198828611852,-9.034915909997274,497,-8.910843438786497,-5.397098349934892,162,0.12407247121077702,0.9186606788441093,0.10624559605054706,0.0,0.3607285652375286,0.5465,496.0
30,-6.461121246129244,-8.963968888432493,497,-8.746766304001547,-5.378431305063399,164,0.21720258443094664,0.912231615626827,0.12245482965756338,0.0,0.4031172510223232,0.7275,496.0
31,-6.65194486462666,-8.660813618777297,500,-8.660813618777297,-5.600372024916871,149,0.0,0.9572845148299556,0.1312295974669775,0.0,0.47006962071006914,0.0,495.0
