quantity,epoch,n,mean,std,median,q25,q75,min,max,skew,excess_kurtosis,bimodality_coeff,shapiro_p
F,50,50,-6.079129424317342,0.13789079692786138,-6.092713653968396,-6.16868392615505,-6.007067723301793,-6.368998838096803,-5.7290786671853215,0.42211852924637194,0.36243657359280324,0.33139221048634954,0.5647304114554018
F,100,50,-5.8935740977763995,0.14118535470475835,-5.879700571206925,-6.021421854283897,-5.783879862996342,-6.248240075075308,-5.637054762265259,-0.2782587496359416,-0.6118391200791087,0.41744915485691547,0.3377305373087101
F,250,50,-6.219552943378132,0.18654398920202606,-6.208849247938575,-6.333627690296474,-6.085959588360826,-6.632096432665272,-5.864660815221764,-0.2888766805779643,-0.3888017173469511,0.3863919404979169,0.6304188157487471
F,500,50,-9.231026953610936,0.4545706075177922,-9.304808844600661,-9.538290895585195,-8.93723132332908,-10.23389052443444,-8.36204127520206,0.007652032460172052,-0.5825688156438509,0.3831274498256241,0.6436075720619814
E,50,50,0.0640832165523591,0.13146354407001296,0.0663614939985758,-0.0242739920442003,0.12710455736247758,-0.207359114569653,0.3717159350822496,0.23570490132336358,-0.02389032856006912,0.33309577473645463,0.817167638963318
E,100,50,0.040225125993725144,0.14752427876211688,0.0719464972402799,-0.06690670885622481,0.16467340091878604,-0.3417730336935531,0.2516820913889156,-0.6864366066269926,-0.19175782332185998,0.4902249755314248,0.017426961740955635
E,250,50,-1.0068869499825315,0.2582246204137155,-0.9821070325281912,-1.1636075845921128,-0.8051280098041089,-1.6020417777109175,-0.603113875513266,-0.5787807809622744,-0.20751591485170717,0.44718646238988047,0.08418999868952913
E,500,50,-5.028091686841669,0.5179106932663136,-5.069802302535477,-5.3843177272289715,-4.65183208075841,-6.118876440499273,-3.9687350824345855,0.09987536383841379,-0.4630588502428541,0.36998673062441095,0.7425266973053988
S,50,50,12.286425281739401,0.04662535278499689,12.294560010340263,12.26030825955148,12.325606762289974,12.165208479982986,12.374805605417198,-0.6603678613689778,0.0009000588045124935,0.44965935291003895,0.03330831642941286
S,100,50,11.867598447540251,0.1146238631305325,11.870611251601893,11.789868324168472,11.962467715598518,11.622658484379686,12.032678185041416,-0.4478502879495861,-0.5995208495243438,0.4629509380732725,0.049164010467871826
S,250,50,10.425331986791205,0.23044708209880355,10.486401445155751,10.317971921008205,10.576945818292083,9.714398972399207,10.863042869841468,-1.1219956094187433,1.513414964003645,0.4799748787133541,0.0016618454464579716
S,500,50,8.405870533538533,0.22360471222925496,8.370487946295786,8.228507382811717,8.549746571261156,8.027378915454644,8.993657337602603,0.649963511153623,0.13067503961829807,0.42799911332170315,0.11554551687676168
KL,50,50,3.614019822435,0.016512397668719463,3.613178406579281,3.6010193708845732,3.6251223856555206,3.583674736590708,3.657815141873204,0.462371857560123,-0.0965822843578934,0.39202030973457935,0.4179340946642708
KL,100,50,3.5537900639308306,0.019244144150871993,3.5514558051059884,3.541097729824178,3.567458705648802,3.5107690295474248,3.6030425047421386,0.35141753273194853,0.25412040078072806,0.3259396534539412,0.5423104790005979
KL,250,50,3.150826967184259,0.06378176990421028,3.1474995611004353,3.1126072424957614,3.1870696979078623,3.0196738522165667,3.2924152630212453,0.3115780748960979,0.1137290888452509,0.33179038013734274,0.34875996015109234
KL,500,50,1.8831397702686135,0.16794326837654636,1.8705199023042813,1.7889278048995034,1.9683923086321902,1.542119385150294,2.4622690789684443,0.8795389350705444,2.0964760956023163,0.33531664547112655,0.056946441278836385
