epoch,1,2,3,4,5,6,7,8,9,10
1,-12.595776029621458,-12.45692866347982,-12.9532957751576,-12.560172787224404,-12.558122769348593,-12.771026888439051,-12.566724653431786,-12.660719264662292,-12.50413416638252,-12.830461981609025
2,-12.613479432199105,-12.34004952737274,-12.918525758402389,-12.549322908586891,-12.556712924007437,-12.771618065979029,-12.445826751650207,-12.631599802177805,-12.365704697524594,-12.6806323255054
3,-12.700647555592097,-12.34999702454791,-12.8116972778653,-12.534266475828902,-12.76454420209254,-12.77509448234577,-12.479043794982433,-12.60021036851288,-12.408311221102952,-12.791406655316706
4,-12.665388646852527,-12.19924265344808,-12.537508487822423,-12.616480348751258,-12.771147753572391,-12.731853627974932,-12.40257056581348,-12.70649762548978,-12.41558856408274,-12.77021438640288
5,-12.678926708402605,-12.198301123988571,-12.463570623825465,-12.57521487013828,-12.639647600675715,-12.780555593140868,-12.463181309444892,-12.549233697658492,-12.622672219781702,-12.836204295244592
6,-12.495487532593028,-12.14656870189931,-12.425607681425108,-12.525184187668788,-12.69133825764251,-12.675141327635268,-12.500078024240192,-12.465685488552714,-12.585658977085671,-12.820839932649037
7,-12.48822103622607,-12.077534753128576,-12.366665040581015,-12.350550219441324,-12.600743368506274,-12.584641118992788,-12.46440040965754,-12.414799442430825,-12.643434328319152,-12.753786512316726
8,-12.532074638853214,-12.178402569649782,-12.439859632465469,-12.45700960940481,-12.47796799266876,-12.608517143590294,-12.460930088558946,-12.50794068712487,-12.631729852902929,-12.701690095018062
9,-12.66644113493369,-12.22782668466495,-12.507464622347308,-12.60038663705654,-12.511591111306984,-12.553135714349438,-12.532722498379176,-12.491624919777625,-12.572267822283532,-12.778120260002623
10,-12.871116774543204,-12.26649474382766,-12.451048263152432,-12.779122681392415,-12.57295632630583,-12.476527997281654,-12.500237513491008,-12.521183993861923,-12.528540160373716,-12.837903934537666
11,-12.842639682925691,-12.410939760219792,-12.283267547157354,-12.794136736866683,-12.675283947179494,-12.349847060553635,-12.599892283886042,-12.498268215780554,-12.495082662279929,-12.97368096692298
12,-12.989168561783735,-12.400309704382623,-12.367465870548989,-12.53489903197202,-12.70231392006003,-12.519089528727658,-12.52271790719842,-12.434834454260146,-12.344092662928457,-12.906316918455934
13,-12.911547211417384,-12.383049459383116,-12.23354815361092,-12.702711740245014,-12.507093550641722,-12.611350847810984,-12.35140143266446,-12.319469778057885,-12.459157290048749,-13.0199640554301
14,-12.871698011748952,-12.356523149405946,-12.087801821066869,-12.650818520906748,-12.412544488018524,-12.559189982482,-12.459285371188097,-12.303126965301932,-12.59567760548402,-13.157322158815552
15,-12.836266909761695,-12.593113645547188,-12.148678682476918,-12.710388526123136,-12.397126767155838,-12.614329800945328,-12.518917475363416,-12.331551303207098,-12.360922480590164,-12.955368872886009
16,-12.837601246798014,-12.669170509827724,-12.280035309794831,-12.66519288858072,-12.445316999663149,-12.626374134687032,-12.675655377399616,-12.46873238775767,-12.34079150056528,-12.841912368925898
17,-12.699521097891084,-12.750327793127386,-12.412024534371172,-12.848354858723615,-12.544061259214732,-12.570968079299089,-12.658044274982675,-12.460838702984969,-12.4708901882487,-12.911211734717252
18,-12.867442735687684,-12.618766888687995,-12.40882009070845,-12.8387525433689,-12.487902153490351,-12.558531327057295,-12.609463456724267,-12.270131727006332,-12.413337867694487,-12.877984982634604
19,-12.841933598275526,-12.675029112152576,-12.545764511515168,-12.641907623253228,-12.725818002398553,-12.525638238036608,-12.81711208629488,-12.329167626195726,-12.575921339453156,-12.801965427913924
20,-12.945670487376669,-12.690077656483725,-12.310071070184932,-12.724917700535546,-12.861324492408,-12.505981808063463,-12.644027835039497,-12.268794542217403,-12.497491475277004,-12.893893058485796
21,-12.729874832542142,-12.590862664292814,-12.237650654324897,-12.70903115706113,-12.778562177433257,-12.615926148701346,-12.748216629542028,-12.343392050065978,-12.386777219200136,-12.86564147804308
22,-12.815788609042958,-12.7274431271986,-12.161844068121898,-12.727667817498777,-12.543804934773362,-12.572310566538608,-12.665830853985335,-12.414341097074276,-12.405345702995218,-12.651445728330758
23,-12.754165728630143,-12.697329188424057,-12.186830933277005,-12.492604593661015,-12.601449581925014,-12.598944631542262,-12.722938464183704,-12.531121836031934,-12.416684866232137,-12.569943368775826
24,-12.7468957311093,-12.630602004221286,-12.216628011487307,-12.37853204503393,-12.56049595718433,-12.621696112399002,-12.656220993342822,-12.654426433481936,-12.420238022663929,-12.511084573596218
25,-12.691827797425402,-12.6098579042684,-12.312105488235412,-12.412300631591451,-12.587602059532095,-12.599088870553048,-12.519909032433924,-12.63931540449505,-12.337222331609285,-12.495224786747151
26,-12.75629834629666,-12.663550696778076,-12.349381095028368,-12.405554130952137,-12.525781306129849,-12.463301491302344,-12.391828999402602,-12.471336972732756,-12.387663944478923,-12.526528749394028
27,-12.647499329094122,-12.61121134780219,-12.252660254051865,-12.333960184102112,-12.41008197838543,-12.56379190753811,-12.431329378288906,-12.332518331230023,-12.351884229927682,-12.604596898427388
28,-12.621529027384536,-12.890193479184196,-12.40733843944913,-12.368092362140342,-12.42650230869357,-12.691485823828671,-12.489743771018828,-12.33543471671959,-12.504432379697173,-12.64445530391908
29,-12.65120262350454,-12.783149368939291,-12.383246971763317,-12.357903300780846,-12.634673180413571,-12.55782661933799,-12.549111907094955,-12.46105681568344,-12.400081202534135,-12.74586205515596
30,-12.51200390475558,-12.90488190577454,-12.322339932507626,-12.427664389911614,-12.710677508351834,-12.74843290182856,-12.49551949875999,-12.64839200018159,-12.389211364851787,-12.55573601192363
31,-12.421239713022056,-12.832035912868736,-12.461747392928222,-12.587550509346922,-12.800786918139789,-12.61165009794004,-12.344132634829684,-12.629140030248823,-12.525023393294504,-12.687840631966145
32,-12.340305796713713,-12.720096464529538,-12.555265902333645,-12.589440732760298,-12.542399978515338,-12.614173550763548,-12.220356907763758,-12.645542292956678,-12.489156427368563,-12.688349716103565
33,-12.22258447084756,-12.680388596758554,-12.466460163285376,-12.560473719147696,-12.667302355901471,-12.495988830076492,-12.260868804343746,-12.749608145986416,-12.530198818419567,-12.731238722626935
34,-12.230422331077763,-12.647310641098535,-12.460847999650634,-12.497516934279204,-12.603879890922622,-12.58243720049216,-12.18008914688408,-12.7088956216168,-12.392027049951102,-12.667670463898563
35,-12.220688324809428,-12.65306843260149,-12.536025870012336,-12.455646436794444,-12.595689169229107,-12.424051802933889,-12.155385993035429,-12.724231685046444,-12.33987920624439,-12.65238623373675
36,-12.290065364411468,-12.626928882550397,-12.429574318142286,-12.454154080443589,-12.439878940434262,-12.405919263015326,-12.059720973796956,-12.628879499644611,-12.515586585539545,-12.532148676141752
37,-12.175401485900856,-12.670750685296609,-12.407379733515528,-12.538799335904764,-12.376414043263017,-12.296073233056743,-12.108322635027394,-12.631877043538609,-12.597896907393787,-12.630825217930656
38,-12.235625411353327,-12.693274465222055,-12.293236654632569,-12.46312301815923,-12.258003046589744,-12.241558216563504,-12.187648557691292,-12.494880372080972,-12.65489608960308,-12.570036030625264
39,-12.306306504089733,-12.550720752838938,-12.362289048573842,-12.448003848636352,-12.2370457340928,-12.227509201186406,-12.187165972876612,-12.424128361842463,-12.707406394137166,-12.464713607282784
40,-12.466460779980787,-12.647989007857252,-12.50112423581858,-12.509866977561048,-12.305201797888309,-12.14044592300548,-12.276798807427085,-12.367012220052915,-12.653152070080855,-12.360465404804412
41,-12.470903116515114,-12.748746033128931,-12.449973875900044,-12.555536188803504,-12.408693876179065,-12.142646449900877,-12.278071581829062,-12.474326947718795,-12.797320792397224,-12.351212960611688
