sweep,thermo,learning,spearman_pooled_levels,spearman_within_seed_median,spearman_increments
500ep,E,KL,0.6394953108697206,0.6464828099312396,-0.2311400466493491
500ep,E,recon_sq,0.6350749342218799,0.6306527786111145,0.21805151657203817
500ep,E,recon_ce,0.6373274103074039,0.6361146244584978,-0.0977030286890424
500ep,S,KL,0.9533521295202434,0.9600252001008003,-0.46739006654285153
500ep,S,recon_sq,0.9886853019277525,0.9946019464077855,0.5499055097706397
500ep,S,recon_ce,0.9748514908715065,0.9822742490969962,-0.2501790395958099
500ep,F,KL,-0.7820788426992622,-0.7985227940911763,-0.18698443811014379
500ep,F,recon_sq,-0.7958756121815609,-0.8176356065424262,0.15393867728451438
500ep,F,recon_ce,-0.7886412465707541,-0.813133716534866,-0.07684465752721578
500ep,F_data,KL,-0.6140260698210976,-0.6531260845043381,-0.13183334375033925
500ep,F_data,recon_sq,-0.6342322664849797,-0.666311305245221,0.153325110093454
500ep,F_data,recon_ce,-0.6231563920836423,-0.6632558530234121,-0.023170549242748705
5000ep,E,KL,0.8445593362552638,0.9155129514485363,-0.7139486023162878
5000ep,E,recon_sq,0.9466750783501723,0.9981978350874645,0.08261196404838239
5000ep,E,recon_ce,0.948400911310771,0.9981878733585697,-0.09224588402956548
5000ep,S,KL,0.8708066828226426,0.8908167686506123,-0.7842212466883997
5000ep,S,recon_sq,0.9838709610653801,0.9955590141791919,0.035247036472632706
5000ep,S,recon_ce,0.9845840368847628,0.99553188356884,-0.18501872455347823
5000ep,F,KL,0.8338060205165995,0.9160114565387083,-0.6398358955862535
5000ep,F,recon_sq,0.9332787045878258,0.9961766652267521,0.10912675666614619
5000ep,F,recon_ce,0.935146508559078,0.9961660712418634,-0.05402618468876117
5000ep,F_data,KL,0.8413752408870713,0.9205525487393202,-0.5194012909760906
5000ep,F_data,recon_sq,0.9373948263834029,0.9975701565133004,0.17016576165192462
5000ep,F_data,recon_ce,0.9392227887694679,0.9975636574567757,0.02445254363322741
