seed,epoch,temperature,Z,E,S,F,F_check,err,delta_F,F_data,KL,NLL,data_mass,recon_sq,recon_ce
11,1,2.0,280192.98942974606,-0.14361067676830347,12.471428554308323,-25.086467785384954,-25.08646778538495,3.552713678800501e-15,0.07483201678212836,-12.603641294015166,3.602355916069634,6.241413245684893,0.027293517785429343,0.49990036407653027,6.240514803190455
11,2,2.0,269902.99193778925,-0.06679752716056027,12.47241912072113,-25.011635768602826,-25.01163576860282,7.105427357601002e-15,0.17342560069943147,-12.531148480213512,3.6011863145793974,6.240243644194656,0.027321695219728003,0.4998922864560077,6.239272956648362
11,3,2.0,247484.95813990635,0.10396019691051457,12.471085182406954,-24.838210167903394,-24.838210167903394,0.0,-0.15328136686030192,-12.356338127056606,3.601878690808134,6.240936020423392,0.02732311164212848,0.4998758025092746,6.239815504482064
11,4,2.0,267198.1420946448,-0.05153872475645277,12.469976405003624,-24.991491534763696,-24.9914915347637,3.552713678800501e-15,0.17032240593290382,-12.506317343372487,3.6035297660803463,6.242587095695605,0.027293319590733382,0.49987995977806193,6.24150150301615
11,5,2.0,245385.21586994527,0.11617373523082186,12.468671432030806,-24.821169128830793,-24.82116912883079,3.552713678800501e-15,-0.03844777254805365,-12.334765563553386,3.604144453023445,6.243201782638704,0.027291953524663883,0.49986425282303387,6.241973355138748
11,6,2.0,250148.10731549413,0.0735704459321603,12.466593673655504,-24.859616901378846,-24.85961690137885,3.552713678800501e-15,-0.030130680811403465,-12.368781064454902,3.606360588846713,6.245417918461973,0.027234500899567634,0.4998628082940821,6.2441724351469405
11,7,2.0,253945.20416543804,0.044640467558509256,12.46719402487438,-24.88974758219025,-24.889747582190253,3.552713678800501e-15,-0.10067742563372306,-12.399849307876144,3.6058918075417923,6.244949137157051,0.027219989867392932,0.49987079024588277,6.243776714659265
11,8,2.0,267055.6930710564,-0.05547939975335203,12.467472804035308,-24.990425007823973,-24.99042500782397,3.552713678800501e-15,-0.1419260702672105,-12.500618266487946,3.6058460410527533,6.244903370668013,0.027244056169566957,0.49987264770814144,6.243747743812292
11,9,2.0,286695.3804900399,-0.19089187921951906,12.470729599435831,-25.132351078091183,-25.13235107809118,3.552713678800501e-15,0.03670777601179509,-12.648523682159652,3.6028563683505057,6.241913697965764,0.02730539156636502,0.4998878613783561,6.240900813224149
11,10,2.0,281481.4003550013,-0.154110333565043,12.470766484257172,-25.095643302079388,-25.095643302079388,0.0,-0.0027802059999046946,-12.611891200517363,3.6028187211657543,6.241876050781014,0.027282742952060433,0.4998922100592066,6.240902729695593
