epoch,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,-50.01373529703026,-49.89539323102543,-50.39488223491838,-50.01604104054554,-49.99331374811047,-50.24284958515062,-49.99575042312819,-50.11941398871373,-49.95508890949592,-50.23287720852295,-50.06865707653033,-50.14824481916087,-50.19121905782772,-50.17275024493351,-49.81254246096373,-50.27315559952896,-50.16500847176453,-50.07800868288087,-49.97340917226381,-49.90142525042646,-50.006049711651016,-50.12717173882666,-50.179108295666815,-50.28437893800717,-50.33010582099611,-49.977991491768506,-50.238599985496535,-50.07160708254889,-50.31854581109548,-50.13291252684427,-50.27875560223933,-50.20778620247656,-50.126648839464025,-49.89696875855156,-50.21213563713669,-49.98150811798401,-50.046138951793885,-50.12738385259669,-50.30190836334634,-49.91474822729916,-50.11572167433784,-50.36572029606825,-50.09363399181605,-49.97146875463318,-50.12857869307055,-50.15598983420464,-50.27878354157018,-50.017050929610136,-49.96326461372449,-50.29936350528979
2,-50.135975078722986,-49.672047553767726,-50.41414970042487,-50.01447340571362,-49.99315211450085,-50.24771353244687,-49.8393760176004,-50.01822708956031,-49.817107650839546,-50.0943383229315,-49.94481606128,-50.025919684646745,-49.94789646990052,-50.33289664249666,-49.780465341679765,-50.36118326042414,-50.15083209277716,-50.13055739679956,-49.956450225963536,-49.78303040231541,-49.97520294833448,-50.23680779077935,-50.25016283438206,-50.28425399368815,-50.33102197649254,-50.10205544295225,-50.29191776815875,-50.02116176425775,-50.42704246165953,-50.23885022611566,-50.31551680924722,-50.06877313499393,-50.02300324881682,-50.03410904533151,-50.21057461920763,-49.98093478569496,-49.99341144255718,-50.217718510822856,-50.26782770201579,-49.914491771950935,-49.96379059595945,-50.41970469361007,-50.27276728442976,-50.05763534288823,-50.18699145095447,-50.259271234237865,-50.28027141356078,-50.00097204218002,-49.996424552719866,-50.19235427132412
3,-50.11912098667434,-49.68707884771578,-50.313573906653815,-49.945102623318064,-50.24215674860403,-50.32515683028207,-49.89091763399062,-49.9862901753787,-49.76516268426933,-50.080113859483326,-49.891544326980174,-49.85543949806818,-49.96648856661385,-50.247818976387066,-49.848229036454654,-50.397816213703976,-50.15456558051512,-50.05830952267659,-50.11282991053004,-49.88747492659932,-50.00960064281573,-50.18453887314694,-50.41085348495805,-50.2312857169971,-50.29697688933812,-50.05090731553423,-50.25675960010418,-49.96747612897073,-50.3039613670726,-50.27442384885921,-50.35295594444036,-50.11870090638612,-50.041467105606856,-49.8612300084076,-50.141467708088605,-49.98633405456698,-49.96323068038709,-50.19860486596089,-50.23497043301055,-49.95172470445519,-49.82895771088712,-50.297733038080914,-50.2732243087401,-50.036885500564,-50.16956875891257,-50.41794907829093,-50.14228366005901,-49.86447869924467,-50.067115974983714,-50.19339418474251
4,-50.26252968624036,-49.48524473845171,-50.1198367475657,-50.12262633496561,-50.19369726711432,-50.35616807616913,-49.78876800480195,-50.0010015974122,-49.81305566426374,-50.02833718213983,-49.99593169942629,-49.96049035938461,-49.96616795177452,-50.04006556986933,-49.8806687864717,-50.3654805921799,-50.08269625642181,-50.16714521768687,-49.99167511807532,-49.87367508733555,-49.93730525252168,-50.02776991494538,-50.353624115377634,-50.3378931848269,-50.4047426743069,-50.066596751006855,-50.2942063685727,-50.05680074961603,-50.23696475718688,-50.09723702604147,-50.40540412069233,-50.04966793325367,-50.14941532589526,-49.84290530230396,-50.019425249163326,-50.00232442019514,-49.79213219510792,-50.06229985043511,-50.39642681902978,-49.96765635028874,-49.69275289978758,-50.331838903655296,-50.33357671028584,-49.98395504255475,-50.16891392950571,-50.37956382671632,-50.2796658642492,-49.72635921409922,-50.14049632698343,-50.28620886140938
5,-50.24387369565056,-49.45238515557123,-50.11864077461558,-50.28274636520433,-49.93246257517424,-50.372251969950106,-49.76958315413257,-49.98151026150616,-50.05493271939119,-50.17191267279989,-49.84322011554013,-49.85504593380656,-49.94431712139366,-50.09127244209072,-49.96490880862797,-50.24284923889704,-50.102687919867776,-50.29032093426601,-50.00039198832523,-50.0453764405494,-49.79702304260305,-49.96815509171506,-50.37491134227785,-50.28524600546597,-50.40807546473339,-50.060199336718746,-50.31517149598848,-49.98861091361986,-50.35174074768938,-50.236255768409215,-50.336805901792665,-50.0129955335797,-50.27924420931317,-49.86049171226348,-49.88085726180677,-50.00412685756131,-49.82285940000902,-50.045056468011225,-50.44890529831694,-50.00088286048155,-49.6418066463508,-50.24328754071964,-50.40383967512766,-49.88185616214571,-50.2753551396672,-50.48698660410115,-50.32828988682642,-49.676069048070666,-50.13830473466282,-50.49625932142402
6,-50.21579213317024,-49.414971254829645,-50.265339964312616,-50.42627946700486,-49.98662775624805,-50.33598053696685,-49.75086361798674,-49.99821640458172,-49.933798822454776,-50.12292258121245,-49.9361293713238,-49.93904896498151,-49.99748988994345,-50.05636124119388,-49.978553059079765,-50.41796137498911,-49.842516780550326,-50.2353460317762,-49.86156857049674,-50.21229942918672,-49.745835841847146,-49.89809474664089,-50.4670675817276,-50.21992768059213,-50.3181989726526,-50.093832867236415,-50.385046353339376,-50.044234422230254,-50.44457913624219,-50.29000015738864,-50.46596232053101,-49.87249187486167,-50.32051082948147,-49.742352099183215,-49.89605588920352,-50.0205962201481,-49.769185487246,-49.88983906332408,-50.46823619051776,-50.14037261112249,-49.718156407023855,-50.20834775970878,-50.3222172301908,-49.83113872950096,-50.080342144753445,-50.557624692733086,-50.364219178731496,-49.89705046030905,-50.23058080589272,-50.36795799957873
7,-50.22963177963502,-49.32909044868463,-50.121629262208295,-50.40353221878551,-49.8473417166089,-50.33586504980176,-49.64849816809296,-50.01564260808313,-49.864942039371535,-50.13731975810129,-50.00768490979273,-49.8167029421212,-49.99360162941221,-50.0045316679618,-49.97596444935233,-50.52680604907943,-49.79510696567087,-50.27902852743873,-49.71900314525757,-50.20885018043722,-49.67578186594318,-49.91801509766981,-50.48608323465015,-50.16588898641416,-50.322362586926175,-50.24929196037531,-50.33670332375227,-50.05792231860303,-50.42746474112126,-50.3797837356822,-50.46463446411597,-49.90587571162639,-50.23865613466745,-49.73853359818579,-49.812184662850434,-50.036780841175386,-49.83633691151192,-49.81815821567741,-50.487844952912326,-50.08766970332649,-49.53734561638991,-50.086935132410034,-50.32507960680108,-49.77867529530616,-49.90327666871786,-50.3961384248281,-50.42148555570827,-49.88455384230921,-50.22940039755188,-50.28742008689839
8,-50.19861894886071,-49.22635441492732,-50.25562618429165,-50.44169355825064,-49.86045929519892,-50.456818844074114,-49.80176862673882,-50.09951720379702,-49.76476647398542,-50.11848341611843,-50.1129203553256,-49.74453609502255,-49.99460880769705,-50.00067833469679,-50.04260808763619,-50.41893448819033,-49.642924004285554,-50.453782358441536,-49.75028913989012,-50.17052486112331,-49.72576971566653,-49.84173418712046,-50.37886988444703,-50.3225543453726,-50.43315877441851,-50.162514153334975,-50.22062567657908,-50.13292893530583,-50.25535551597939,-50.220940135825145,-50.30372104638148,-49.958125332732685,-50.00178145432518,-49.77238055823655,-49.881456730207645,-50.11199675715726,-49.81398277517799,-49.65030406200658,-50.56390256942678,-50.19076650666775,-49.51828767480246,-49.98138489434475,-50.41809641210386,-49.89769197403632,-49.93846214707419,-50.46372565116523,-50.38679148264188,-49.85840926489937,-50.17658971833747,-50.1592510159321
9,-50.26621833839671,-49.22493761582687,-50.22157035991488,-50.35268031903739,-49.94868825440265,-50.51398788328255,-49.82596374193832,-50.27394196933349,-49.86601742078339,-50.12195440581437,-50.28055755963187,-49.828155912079296,-50.01049782358818,-50.1398857676351,-50.02444624307084,-50.31095006831868,-49.81513995533415,-50.49342362025421,-49.80450471961413,-50.0281033622308,-49.79035797073432,-49.82546824976866,-50.52419284430406,-50.2916172437645,-50.420210231491005,-50.0765459449282,-50.18163911165016,-50.04690258927491,-50.29945071739272,-50.23934823052051,-50.32026426517501,-49.958973750189486,-50.149783338911575,-49.69015742804164,-49.930156921174536,-50.11342031140347,-49.81305064597647,-49.6883978878308,-50.51402176024597,-50.14322599196839,-49.4887210739744,-50.05063166290545,-50.312260639010624,-49.82960765934365,-49.90119488863339,-50.55551312787559,-50.41824266604867,-49.92641045906744,-50.22525291544094,-50.11193211590553
10,-50.38469936387829,-49.16069813497636,-50.34303916718099,-50.33683119987776,-50.06586573202756,-50.49353721171376,-49.78888695045264,-50.25694141949298,-49.72725910081934,-50.01374822853688,-50.20672635100871,-50.05164212485743,-50.081701462341854,-50.13947571170706,-50.12758953506744,-50.41914735312745,-49.99894643782957,-50.52705469895911,-49.70279810937696,-50.02462063481276,-49.89312589099366,-49.86005198042554,-50.54660718350008,-50.14771619482626,-50.37787559262174,-50.10687251438871,-50.10973125340961,-49.979082975705694,-50.30805123174012,-50.32697627047224,-50.248660363742886,-49.89261737496735,-50.10982868386442,-49.67353087486029,-49.9641353534777,-49.91885166467733,-49.81447443326756,-49.5206982904613,-50.485935330155776,-50.163486491081066,-49.5741003866495,-50.03311924043629,-50.53470338800295,-49.917663405142456,-49.88878380282851,-50.61202979982945,-50.74393756845178,-49.94435090901124,-50.15428315330679,-50.10348877006032
