seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap
1,-50.01373529703026,-71.67855005768908,5000,-71.67855005768908,-45.64901702164456,2415,0.0
2,-49.89539323102543,-70.38839834465288,4953,-70.20374410346294,-46.6441420252476,2103,0.18465424118994633
3,-50.39488223491838,-71.15930810317961,4991,-70.84572511078653,-45.67476913903515,2173,0.31358299239307996
4,-50.01604104054554,-64.29520201662642,4995,-64.25947907670835,-44.82398723122051,2721,0.03572293991807385
5,-49.99331374811047,-70.7037995306842,4987,-70.24909084126267,-45.63754321604728,2273,0.45470868942152265
6,-50.24284958515062,-68.97563453062179,4995,-68.88201907897114,-45.30823189800111,2421,0.0936154516506491
7,-49.99575042312819,-70.6925330542287,4993,-70.34887961010891,-45.6357109609253,2510,0.3436534441197949
8,-50.11941398871373,-67.90912888428727,4999,-67.82249022990172,-45.219850476524165,2488,0.08663865438555263
9,-49.95508890949592,-70.86330538221786,4993,-70.630664646207,-45.77232738916237,2471,0.23264073601086466
10,-50.23287720852295,-72.12683703919218,4999,-72.0766944347386,-46.0776585722958,2339,0.05014260445358332
