seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap,ar1_phi,null_gap_median,null_gap_p05,null_gap_p95,gap_percentile_in_null,null_epoch_of_min_median
1,-50.01373529703026,-51.45742257581164,393,-49.91165137371189,-48.71437020867386,474,1.5457712020997505,0.9773456021790603,1.052188658746168,0.31549662767308106,1.8980619271030352,0.836,234.0
2,-49.89539323102543,-50.91501297980048,289,-49.4974101422423,-48.99054211213069,445,1.417602837558178,0.974818115332251,1.0727689652949763,0.3183294615516708,1.8710388249538565,0.768,233.0
3,-50.39488223491838,-50.70041942790065,390,-49.39472532033327,-48.90461900593108,103,1.3056941075673762,0.9647146170876086,0.9830386580282493,0.3713479040860374,1.6471458284481657,0.794,95.0
4,-50.01604104054554,-50.53073912323052,95,-50.15092501456741,-49.106257281776486,398,0.37981410866310483,0.9462634909661479,0.8464404585634959,0.3399957916267994,1.4169086523520167,0.066,174.5
5,-49.99331374811047,-50.992215776670456,390,-49.770745183022285,-49.15718418280915,187,1.2214705936481707,0.9667336058801527,0.9675765973598409,0.32130226259334654,1.700003335936809,0.713,205.5
6,-50.24284958515062,-50.61675803552637,436,-49.8480904082898,-48.84180749329634,68,0.7686676272365673,0.9556496886842389,0.9008005267573296,0.37970498874932057,1.4835376270820888,0.335,127.0
7,-49.99575042312819,-50.46778688514482,46,-49.8017736273588,-48.84543450257386,402,0.6660132577860196,0.9465745673689548,0.8942086014375228,0.3404096045086245,1.4568464526933744,0.259,162.0
8,-50.11941398871373,-50.81895303051559,25,-49.409612490245934,-49.0991989407802,73,1.4093405402696533,0.9615797898665175,0.9520164204985946,0.3493086181439331,1.6088679434506608,0.8765,189.0
9,-49.95508890949592,-50.48045445979979,301,-49.138469520425424,-48.87092396938718,229,1.3419849393743633,0.9588652522165714,0.9047030450977545,0.32409073762879254,1.5389437549561644,0.8755,203.0
10,-50.23287720852295,-50.60231842222522,247,-49.384712023435455,-49.14475879759253,498,1.217606398789762,0.966903768022086,0.9426826340463919,0.3328004034364739,1.6355094743314311,0.7445,145.5
11,-50.06865707653033,-51.08788021125592,161,-49.45945791384968,-49.13739546303703,415,1.6284222974062388,0.9653039398050529,0.9590739276430327,0.3401989788841114,1.625305952185735,0.9505,190.0
12,-50.14824481916087,-50.948657999527086,116,-48.9383715440412,-48.70425081694311,234,2.0102864554858826,0.9736393552360066,0.9845956223097083,0.3251242358093414,1.6954903536684245,0.9875,183.0
13,-50.19121905782772,-50.79984846772417,231,-50.18625982114987,-49.04286430857675,372,0.6135886465742999,0.9644115285066333,0.9498507696339473,0.32359440186381894,1.5777782975306367,0.1955,160.0
14,-50.17275024493351,-50.33289664249666,2,-49.93526294791141,-48.90783341045064,266,0.3976336945852452,0.9495991538472678,0.8451762724503631,0.3408351926227997,1.4132967265068543,0.0725,147.0
15,-49.81254246096373,-50.68188436277575,432,-49.53812629137711,-48.88078687845746,189,1.1437580713986364,0.9740318221757854,1.029782840631885,0.2767424592319056,1.8350894021095314,0.593,233.0
16,-50.27315559952896,-50.52680604907943,7,-49.66247885910034,-48.571549297755695,391,0.8643271899790932,0.951783684847531,0.8897663123473194,0.3425323686490248,1.4465885037678674,0.472,120.0
17,-50.16500847176453,-51.38176530993322,85,-49.339275262677575,-49.33715295753143,376,2.0424900472556473,0.9690310369176347,1.0902893634008173,0.3447595818644832,1.8380693240815493,0.9785,202.0
18,-50.07800868288087,-50.72076405506967,32,-50.36023527425152,-48.96480507224016,169,0.3605287808181501,0.9601370334815258,0.87547063607391,0.3084252310468742,1.5027728064201493,0.0715,156.5
19,-49.97340917226381,-51.16033814112983,254,-49.57427513221496,-48.95278934800747,413,1.58606300891487,0.9780547629435582,1.1299018779440928,0.30139714029162334,2.022992506210175,0.8085,233.0
20,-49.90142525042646,-50.84123010163846,271,-50.27341057665463,-48.99830418095016,142,0.5678195249838254,0.9695294299906692,0.9487465648402775,0.2877702154458923,1.6930202786570479,0.178,232.5
21,-50.006049711651016,-50.86682524883878,75,-49.97492067170977,-48.91146481653821,405,0.8919045771290115,0.9730811378330737,0.9731644629589375,0.25965048564138726,1.6915094875524577,0.427,215.0
22,-50.12717173882666,-50.974027236288606,343,-49.8943344650128,-48.460314434242335,187,1.079692771275809,0.9736693849596667,1.0239419856656866,0.327917073507518,1.7972426091193812,0.5535,188.0
23,-50.179108295666815,-50.71051173112343,25,-49.957817422300224,-49.06921701052327,102,0.7526943088232088,0.9679302701170495,1.0028281062620366,0.3516585821476063,1.6881538066559751,0.273,162.0
24,-50.28437893800717,-50.39417272446235,387,-49.6996606470159,-48.80009565118743,133,0.6945120774464542,0.9606524138883609,0.9292946056000133,0.33854365155821853,1.5144793699372001,0.2565,125.5
25,-50.33010582099611,-50.543396042120186,16,-49.88286932772273,-48.77919006189133,291,0.6605267143974558,0.968615213115387,0.9650271397691697,0.3135341729260627,1.6487276433362665,0.2285,123.0
26,-49.977991491768506,-50.76349552086749,169,-49.60276311519731,-48.46693155575686,299,1.1607324056701742,0.9823267009778878,1.0779382574996852,0.2613982328940555,1.9897297199835908,0.5595,234.5
27,-50.238599985496535,-50.811142187946686,87,-49.8343301620647,-49.11942849207708,430,0.9768120258819835,0.9608630554742584,0.9512471660700363,0.343222063861295,1.5742784234430391,0.534,134.0
28,-50.07160708254889,-50.69114853804791,367,-49.58609766140519,-49.297226295438605,285,1.1050508766427214,0.9329511645395326,0.7958695523512205,0.34408912539767833,1.2969788540975382,0.8585,134.0
29,-50.31854581109548,-50.623980115245146,19,-49.06705217866808,-48.88878655164072,235,1.5569279365770683,0.9653434897602886,0.984673534521022,0.3610905889826455,1.6381735045475962,0.923,131.0
30,-50.13291252684427,-50.64179174957307,103,-49.882994836709166,-48.80570357434763,164,0.7587969128639074,0.9599316508588223,0.9488763693043616,0.3025743520664207,1.595078240787432,0.307,192.0
31,-50.27875560223933,-50.46596232053101,6,-48.97063449360742,-48.709491551925176,486,1.4953278269235923,0.9533399600242283,0.9334329317331758,0.37998264512030283,1.5231390259090503,0.94,123.0
32,-50.20778620247656,-50.53212841060825,329,-49.193059546521866,-48.740319256577706,395,1.3390688640863857,0.9582426699334208,0.9260399645187825,0.3410628529561979,1.5540381509797812,0.8625,139.5
33,-50.126648839464025,-50.84546055696315,90,-50.214359587791314,-49.06597807378409,158,0.6311009691718326,0.9595735352065029,0.9002325702974936,0.31589797609740805,1.4886028361147097,0.234,172.5
34,-49.89696875855156,-51.00941883339895,167,-49.16022708135686,-48.86015479652035,113,1.8491917520420955,0.9756587325474179,1.0355827873822676,0.266218592302285,1.8419606485813012,0.9515,235.0
35,-50.21213563713669,-51.12453951394373,396,-49.4406859763774,-49.05441799445403,177,1.6838535375663284,0.9650963561428698,0.9929407542163666,0.3351261553386841,1.679576486173021,0.9525,166.5
36,-49.98150811798401,-50.78839589329158,442,-50.21213347473491,-48.798485432206576,115,0.5762624185566665,0.9765401317382714,1.0140444580893018,0.2840673943821543,1.8548528106535305,0.188,233.0
37,-50.046138951793885,-50.634539208186894,390,-49.01611612909899,-48.60220336999982,496,1.6184230790879042,0.9582745844186416,0.8950543508609741,0.34108119535953135,1.5198495327956918,0.973,182.0
38,-50.12738385259669,-50.62641348345157,399,-49.43518689000585,-48.58514622848229,48,1.1912265934457196,0.9667947311864478,1.0325064022446462,0.325439499829551,1.7410959090471116,0.6415,179.5
39,-50.30190836334634,-50.81292774195064,35,-49.44644490174833,-48.873335033003386,225,1.366482840202309,0.9600901577218196,0.9178086958909475,0.32800587796294634,1.5459563137642862,0.8895,112.5
40,-49.91474822729916,-50.61718508316603,98,-49.8626508730528,-48.96943002228332,408,0.7545342101132277,0.9560532812825975,0.846693946766166,0.2908404325116255,1.4266574142768003,0.3945,187.0
41,-50.11572167433784,-50.76608312955971,383,-49.81471878294936,-48.9787886014005,205,0.9513643466103474,0.9555220239428766,0.9015532960015129,0.35687202822682734,1.4872586219744959,0.5545,155.5
42,-50.36572029606825,-50.69519928885999,67,-49.80864397584057,-48.75167369593319,395,0.8865553130194215,0.9599226882360471,0.9769407549406282,0.37777904826298075,1.6150840920840892,0.4035,106.0
43,-50.09363399181605,-50.716395509554665,72,-49.87004545239744,-48.98647108183144,343,0.846350057157224,0.9695250193939757,0.9505052872462407,0.31872233011586354,1.6973158363098246,0.395,193.0
44,-49.97146875463318,-50.71973515492856,238,-49.53977017644775,-49.14313828503185,81,1.179964978480804,0.957547359302155,0.8743025858901561,0.29184811976967034,1.495030754458677,0.803,190.0
45,-50.12857869307055,-51.01357678410071,45,-49.8151100735086,-48.86683691364284,420,1.1984667105921076,0.979084235542298,1.093445796815626,0.28963312488284,1.9883182116371958,0.589,203.0
46,-50.15598983420464,-50.83205658990291,455,-50.2619380580017,-48.90967732306035,372,0.5701185319012154,0.9730179714319364,1.0062210236236275,0.30769268630511987,1.7509789718498487,0.153,204.0
47,-50.27878354157018,-50.81634401101816,12,-49.85355798719151,-49.042111456582326,288,0.9627860238266521,0.9570283865794593,0.956792468530999,0.3364373789980114,1.5573796204068873,0.508,134.0
48,-50.017050929610136,-50.86021392225289,63,-49.80538212158269,-49.15917859631136,297,1.0548318006702004,0.9402165542452,0.8268729750187234,0.32652292027157087,1.3371549012750992,0.7875,147.0
49,-49.96326461372449,-50.891769297771454,445,-50.52939263927762,-49.449943734698216,261,0.3623766584938366,0.9490130682243483,0.8549685894310315,0.3196129532875084,1.4477572623458885,0.0605,174.0
50,-50.29936350528979,-50.88333008668912,389,-49.48426017629068,-49.13342748149476,47,1.3990699103984383,0.9681966873081611,1.0288726126270404,0.35144124715452174,1.7225591949580465,0.814,128.0
